run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74
0.0113,0.0434,0.3231,0.0562,0.2429,0.0639,0.072,0.0847,0.044,0.2949,0.4517,1e-04,0.5715,0.0728,0.4753,0.4934,0.0541,0.0486,0.5058,0.0057,6e-04,0.0153,0.0962,0.1518,0.0337,0.0488,0.1579,0.1538,0.0021,0.3097,0.3097,0.0132,0.0277,0.0264,0.0077,0.0958,0.0673,0.0065,0.0065,0.1009,0.0237,0.0598,0.1381,0.0123,0.0161,0.0046,0.0025,0.3677,0.0058,0.021,7e-04,0,0.0693,0.0495,0.2127,0.0289,0.4231,0.04,0.5239,0.0952,0.0461,0,1e-04,0.2061,0.0153,0.2431,0.0118,0.0119,0.0324,0.3185,0.0376,0.0674,0.0259,0.3085
0.4158,0.513,0.5654,0.4682,0.5836,0.4759,0.4515,0.5138,0.415,0.339,0.2625,0.5425,0.4382,0.6024,0.5819,0.5393,0.5105,0.5341,0.5186,0.4891,0.4696,0.472,0.0328,0.0473,0.5092,0.2386,0.262,0.2946,0.1697,0.3612,0.3712,0.4443,0.2609,0.2609,0.3084,0.3743,0.4751,0.5553,0.0166,0.2346,0.4697,0.4778,0.5259,0.2106,0.2261,5e-04,0.0032,0.575,0.5351,0.5751,6e-04,1e-04,0.5148,0.5869,0.4686,0.4632,0.4159,0.5405,0.503,0.5411,0.6272,0.0253,0.0924,0.0974,0.1754,0.345,0.5095,0.5107,0.5102,0.7671,0.3145,0.5196,0.5212,0.3092
0.085,0.0891,0.1511,0.0539,0.4058,0.0881,0.086,0.0957,0.0436,0.1839,0.4325,0.1116,0.2016,0.0917,0.6779,0.6909,0.0786,0.0959,0.1502,0.1067,0.1832,0.1758,0.011,0.0279,0.1052,0.1886,0,0.0028,0.0922,0.3128,0.2461,0.1,0.1762,0.1293,0.0548,0.1957,0.166,0.1986,0.0678,0.4,0.083,0.1099,0.0906,0.3691,0.3864,0,0,0.4745,0.1032,0.1339,0,0,0.1319,0.1227,0.475,0.0814,0.1412,0.1271,0.1204,0.0963,0.111,0,0.1671,0.2044,0.0896,0.0958,0.0688,0.1071,0.0902,0.6556,0.2164,0.0766,0.2195,0.249
0.014,0.0514,0.0888,0.0256,0.1179,0.0173,0.0144,0.0538,0.0141,0.0327,0.0235,0.0697,0.0321,0.0407,0.2599,0.2347,0.0219,0.0215,0.0435,0.0483,0.033,0.0405,0.0117,0.0166,0.025,0.114,0.1477,0.1399,0.1171,0.0461,0.1559,0.0455,0.0592,0.0592,0.0136,0.0292,0.0541,0.2783,0.051,0.0702,0.0592,0.0859,0.0265,0.0629,0.0652,0.0017,0.0068,0.227,0.0429,0.1159,0.0016,0.0012,0.0491,0.1007,0.0879,0.0246,0.031,0.0428,0.0412,0.0411,0.0611,0,0.0062,0.0686,0.0542,0.0873,0.0906,0.0797,0.0287,0.5,0.1264,0.0352,0.0909,0.0584
6e-04,0.002,0.0222,0.0036,0.0281,9e-04,8e-04,0.0069,7e-04,0.0324,0.0012,4e-04,0.0355,0.0092,0.06,0.0591,0.0014,0.0011,0.0139,3e-04,4e-04,4e-04,0.0031,0.0069,0.0028,0.001,0.0824,0.0817,0.0011,0.0048,0.1114,0.0039,0.0012,0.0012,0.0024,8e-04,0.0012,0.0087,7e-04,0.0269,0.004,0.0033,0.0031,1e-04,1e-04,0,0,0.0052,0.0032,0.0013,0,0,0.0079,0.0216,0.0227,4e-04,0.0117,1e-04,0.0165,9e-04,0.0028,0,0,0.0261,0.0073,0.0453,0.0089,0.0069,0.0042,0.0302,0.0014,0.0062,0.0042,0.0121
0.2407,0.2359,0.1815,0.1268,0.2633,0.1972,0.1794,0.0794,0.0552,0.0583,0.1467,0.0452,0.0269,0.1155,0.1455,0.1649,0.1881,0.1609,0.0654,1e-04,1e-04,0.0067,0.0073,0.0106,0.0457,0.0522,0.0743,0.0725,0.0044,0.2791,0.1857,0.0466,0.0587,0.0587,0.0296,0.0589,0.0447,0.0532,0.004,0.0423,0.0897,0.1463,0.2126,0.0613,0.0944,8e-04,0.0658,0.1454,0.0338,0.08,1e-04,0,0.2054,0.0399,0.2166,0.168,0.1454,0.0268,0.0802,0.1052,0.1568,0,0,0.0557,0.0172,0.0581,0.0586,0.1719,0.1279,0.4105,0.1015,0.2009,0.1464,0.0587
0.0052,0.2514,0.0734,0.0877,0.178,0.1192,0.12,0.0598,0.0198,0.0675,0.1515,0.0343,0.0314,0.2484,0.2033,0.201,0.1271,0.1318,0.0798,0.0404,1e-04,0.1446,0.0098,0.0081,0.0337,0.2451,0.2902,0.2525,0.0513,0.0941,0.2136,0.1555,0.226,0.0799,0.0073,0.0959,0.0871,0.127,0.1074,0.0137,0.0836,0.1824,0.1637,0.1299,0.1429,0.0034,0.002,0.2632,0.0162,0.2034,0,0,0.0861,0.3192,0.2361,0.0153,0.0483,0.0837,0.0725,0.1367,0.2759,0.0029,0.0043,0.0075,0.0287,0.0678,0.0573,0.1198,0.0361,0.5524,0.2029,0.0877,0.0833,0.0499
0.0564,0.5,0.5574,0.0397,0.6,0.0323,0.0576,0.0123,0,0.5597,0.6083,0.6155,0.6003,0.4647,0.7875,0.6368,0.0276,0.0206,0.3723,0.057,0,0.0086,0.0213,0.1679,0.2843,0.4561,0.5,0.6875,0.0379,0.3624,0.516,0.1121,0.5266,0.5266,0.3555,0.038,0.3195,0.1964,0.1964,0.0076,0.4816,0.5905,0.2062,0.1728,0.3845,0,0,0.4495,0.1994,0.4368,4e-04,0,0.1722,0.4842,0.8167,0.0724,0.3605,0.0565,0.4384,0.0391,0.0544,0,0,0.1346,0.501,0.5851,0.4848,0.296,0.1748,0.7875,0.6079,0.3361,0.7704,0.6652
0.0053,0.0056,0.0208,0.0031,0.0202,0.0022,0.0021,0.0027,0.0031,0.0168,7e-04,0.008,0.0546,0.0019,0.0143,0.007,0.0034,0.0012,0.0207,0.0023,0.0031,0.0029,5e-04,0.0032,0.0046,0.0061,0.0033,0.0018,0,0.0086,0,8e-04,0,0,0.0015,0.0012,3e-04,5e-04,0,0,7e-04,8e-04,0.005,0,0,0,0,0.0158,0.001,8e-04,0,0,0.0048,0.0022,0.0106,0.0039,0.0058,0,0.0194,0.0033,0.0041,0,0,7e-04,0,0.025,0.0032,0.0011,5e-04,0.0153,0,0.0016,0.0033,0.0139
0.2048,0.0864,0.2564,0.1076,0.1603,0.2111,0.1862,0.1653,0.0832,0.1924,0.3784,0.2547,0.2198,0.0617,0.4151,0.328,0.1825,0.1545,0.1915,0.0096,0.0871,0.0347,0.0121,0.0979,0.1095,0.0966,0.0769,0.088,0.0059,0.2395,0.2333,0.1278,0.1194,0.1086,0.1257,0.1601,0.1386,0.1692,0.0055,0.2891,0.1218,0.148,0.1467,0.1521,0.1616,1e-04,0.0119,0.1052,0.019,0.1052,2e-04,0,0.2859,0.1439,0.2825,0.2096,0.1076,0.1287,0.1095,0.086,0.1617,0,5e-04,0.1062,0.0854,0.2591,0.2973,0.1322,0.1134,0.5181,0.1592,0.2358,0.1437,0.1588
