run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,run94,run95,run96,run97,run98,run99,run100,run101,run102,run103
0.4663,0.4243,0.4018,0.2933,0.2257,0.2261,0.1655,0.6526,0.5935,0.665,0.5446,0.2987,0.3137,0.8784,0.671,0.7112,0.7054,0.5297,0.4708,0.458,0.1146,0.1182,0.4676,0.3587,0.3592,0.5234,0.0092,0.287,0.0417,0.4766,0.4531,0.5238,0.6151,0.342,0.2243,0.4521,0.1916,0.3404,0.173,0.4553,0.3885,0.4154,0.4061,0.4026,0.388,0.1567,0.7472,0.5666,0.5666,0.5615,0.547,0.5389,0.3252,0.3405,0.2565,0.1001,0.1158,0.1158,0.1472,0.0524,0.0903,0.0714,0.1033,0.5648,0.4958,0.49,0.5934,0.5871,0.5719,0.4195,0.4383,0.4959,0.4084,0.5615,0.5666,0.1099,0.4344,0.1457,0.1457,0.111,0.3905,0.4021,0.3321,0.7307,0.7497,0.7724,0.5153,0.4566,0.5762,0.0344,0.8366,0.4354,0.6116,0.4658,0.3018,0.1895,0.3209,0.3385,0.7234,0.766,0.4427,0.7535,0.8468
0.3781,0.0406,0.028,0.0277,0.0229,0.0321,0.0594,0.4516,0.488,0.4587,0.2734,0.0379,0.0097,0.3112,0.4383,0.5068,0.4833,0.3686,0.0183,0.4647,0,0,0.0448,0.0349,0.0349,0.015,0.1136,0.157,0.0041,0.233,0.076,0.0636,0.3269,0.0084,0.003,0.1631,0.031,0.0301,0.0301,0.0266,0.0034,0.006,3e-04,2e-04,0.0137,0.0257,0.1658,0.1952,0.1952,0.155,0.206,0.1396,0.0151,0.012,0.0196,0.0049,0.0037,0.0046,8e-04,0.0078,0.0442,0.0417,0.028,0.2582,0.1675,0.2115,0.3431,0.3378,0.3192,0.0335,0.1344,0.3547,0.0403,0.155,0.1952,0.0012,0.0011,0.001,0.0013,0.0013,0.0128,0.0211,0.0151,0.4613,0.4901,0.474,0.3794,0.4423,0.4378,1e-04,0.3081,0.0462,0.3727,0.0635,0.0264,4e-04,0.0224,0.0278,0.353,0.423,0.0453,0.3877,0.2077
0.352,0.2593,0.3394,0.2091,0.3271,0.3052,0.2852,0.5244,0.5714,0.4623,0.3457,0.374,0.264,0.2516,0.4546,0.4281,0.3804,0.5112,0.5732,0.4708,0,0.0799,0.2391,0.2085,0.1449,0.2849,0.2502,0.1987,0.0552,0.0877,0.201,0.2187,0.2669,0.2764,0.2028,0.2682,0.2873,0.2944,0.2959,0.3011,0.3061,0.2686,0.0842,0.06,0.0876,0.2576,0.6417,0.2332,0.2719,0.2428,0.2281,0.2216,0.226,0.2134,0.3836,0.1108,0.0402,0.1289,0.0896,0.0478,0.3052,0.3065,0.2751,0.4061,0.3761,0.2794,0.4816,0.4114,0.5144,0.2644,0.2076,0.1999,0.2212,0.2428,0.2332,0.1954,0.1802,0.1123,0.1109,0.0168,0.4477,0.4447,0.4601,0.3184,0.2893,0.3237,0.323,0.428,0.3102,0.0748,0.3388,0.2078,0.4941,0.3285,0.1297,0.0152,0.1326,0.1495,0.3706,0.2754,0.2688,0.5682,0.4446
0.3082,0.0632,0.3667,0.0139,0.1119,0.1496,0.0908,1e-04,0.1197,0.1308,0.3132,0.0192,0.1084,0.1613,0.1501,0.1675,0.0866,0.0325,0.0383,0.124,0.0032,0.0023,0.0136,0.0905,0.0312,0.0751,0.0931,0.0885,0.0112,0.069,0.0519,0.0464,0.0647,0.022,0.0058,0.0804,0.0682,0.1535,0.1226,0.1024,0.1102,0.1133,0.0113,0.0438,0.1472,0.0432,0.3337,0.3051,0.2731,0.3556,0.1126,0.109,0.082,0.0625,0.0536,0.0044,6e-04,0.0091,0.03,0.0046,0.0342,0.0309,0.0172,0.1063,0.2181,0.2009,0.1569,0.1243,0.3048,0.1948,0.1527,0.1135,0.076,0.3556,0.3051,0.0534,0.0575,0.0789,0.0759,0.0986,0.0568,0.0473,0.0242,0.2209,9e-04,0.2355,0.228,0.0476,0.0202,0.0457,0.2767,0.2781,0.1326,0.2603,0.0449,0.0123,0.1093,0.1105,0.1677,0.2247,0.0426,0.2618,0.4204
0.2056,0.1629,0.1388,0.1365,0.0973,0.0688,0.0327,0.2189,0.2278,0.2006,0.2359,0.0987,0.183,0.2555,0.4514,0.4555,0.4334,0.1873,0.245,0.3005,0.0016,0.0017,0.0979,0.0688,0.1969,0.2232,0.2143,0.1908,0.1461,0.17,0.1476,0.0774,0.2245,0.2504,0.1885,0.3324,0.0717,0.0972,0.0198,0.2818,0.1654,0.2107,0.0669,0.1446,0.1585,0.0712,0.1217,0.2571,0.2457,0.1727,0.2144,0.2236,0.0314,0.0279,0.0035,0.0013,7e-04,0.0045,0.0064,0.0611,0.0673,0.0676,0.1992,0.0781,0.0767,0.0805,0.2888,0.2714,0.2715,0.0584,0.1692,0.2121,0.2084,0.1727,0.2571,0.064,0.0655,0.0352,0.0188,0.0217,0.1593,0.1319,0.1739,0.2985,0.3458,0.2931,0.3213,0.311,0.3785,0.0098,0.5429,0.1683,0.3148,0.2073,0.1039,0.1044,0.1534,0.172,0.4036,0.4521,0.2252,0.2013,0.2795
0.0775,0.0684,0.0392,0.0091,0.052,0.0593,0.0462,0.0556,0.0515,0.0606,0.0552,0.0128,0.0452,0.03,0.2632,0.2621,0.1721,0.048,0.0521,0.0635,0,0,0.0182,0.0186,0.0186,0.017,0.0215,9e-04,0.0588,0.0074,0.0373,0.0339,0.015,0.011,0.0052,0.0657,0.0247,0.0253,0.034,0.0553,0.053,0.0532,0.0015,0.007,0.0594,0.0137,0.1684,0.0495,0.0495,0.0421,0.057,0.0566,0.0064,0.0049,0.0241,0,7e-04,0,7e-04,0.0066,0.0147,0.0147,0.0114,0.0624,0.0521,0.0505,0.0482,0.0431,0.0519,0.0088,0.0298,0,0.0505,0.045,0.0526,0.0175,0.0185,0.0115,0.0025,0.0067,0.0166,0.0304,0.0307,0.0608,0.0566,0.0655,0.0646,0.0379,0.0407,0.0063,0.1701,0.0364,0.0574,0.0342,0.0062,0.0132,0.0147,0.0234,0.12,0.1002,0.0672,0.1938,0.3088
0.3861,0.4259,0.0432,0.0984,0.1358,0.1803,0.1391,0.4114,0.4093,0.4015,0.3458,0.3284,0.3277,0.3461,0.4127,0.1524,0.1146,0.3664,0.4518,0.397,0,0,0.1728,0.234,0.2931,0.1534,0.2758,0.3528,0.1542,0.1576,0.1449,0.1608,0.1209,0.5731,0.4354,0.0839,0.3185,0.3882,0.0373,0.3769,0.2985,0.2592,0.1888,0.1906,0.2411,0.1876,0.1343,0.5359,0.5632,0.5037,0.2235,0.2259,0.0731,0.0484,0.0072,0.1173,0.0272,0.1347,0.0202,0.0058,0.2099,0.2273,0.0225,0.319,0.3464,0.3465,0.5276,0.4971,0.3395,0.2432,0.2075,0.2127,0.2053,0.5037,0.5359,0.0688,0.0687,0.1555,0.1548,0.1791,0.1843,0.2527,0.1822,0.3367,0.416,0.3607,0.3878,0.2508,0.4133,0.0449,0.2929,0.2555,0.4267,0.2511,0.103,0.0123,0.2574,0.2623,0.2985,0.2985,0.1515,0.1174,0.0653
0.401,0.3474,0.3097,0.1514,0.0994,0.0988,0.0489,0.4224,0.4646,0.3982,0.3205,0.2078,0.3887,0.4399,0.7065,0.7238,0.6812,0.3745,0.3732,0.4005,0.0121,0.0119,0.1806,0.175,0.175,0.3896,0.431,0.2842,0,0.4158,0.0453,0.0453,0.1632,0.0606,0.0294,0.1877,0.0239,0.055,0.0413,0.3318,0.4428,0.4037,0.2431,0.1813,0.3339,0.1205,0.4805,0.4498,0.427,0.4417,0.3807,0.3711,0.0158,0.0142,3e-04,0,0,7e-04,5e-04,0.2522,0.0125,0.0125,0.0164,0.2089,0.2652,0.3838,0.4205,0.41,0.497,0.2927,0.2422,0.2284,0.2784,0.4417,0.4498,0.1759,0.1817,0.1246,0.1273,0.2458,0.0071,0.0067,0.0258,0.3028,0.2992,0.3049,0.2983,0.2876,0.2517,0.0277,0.8399,0.2346,0.2596,0.2469,0.0936,0.0591,0.0018,0.0019,0.4841,0.5132,0.1216,0.5345,0.4831
0.0592,0.0204,0.0891,0.0223,0.0378,0.0337,0.0146,0.0168,0.1507,0.0932,0.0508,0.0319,0.0357,0.0586,0.0252,0.0299,0.0255,0.0218,0.0564,0.0859,0,0,0,0.0343,0.0343,0.0414,0.0162,0.0125,0,0.0045,0.0424,0.0434,0.0168,0.0339,0.0268,0.0786,0.0137,0.0258,0.0047,0.1064,0.1129,0.1209,0.0377,0.0871,0.0375,0.0064,0.0736,0.0613,0.0612,0.0674,0.1509,0.1567,0.0202,0.0278,0.0288,5e-04,2e-04,0.001,0.0022,0.0329,0.0094,0.0068,0.0023,0.0277,0.037,0.0114,0.0041,0.0118,0.0744,0.0249,0.0671,0.0987,0.0821,0.0674,0.0613,0.0249,0.0151,0.0394,0.0206,0.0248,0.0488,0.0478,0.0272,0.0112,0.044,0.0254,0.0422,0.0255,0.0479,0.0044,0.0125,0.0924,0.0842,0.082,0.0301,0.0231,0.0943,0.1247,0.0394,0.0434,0.0066,0.0127,0.0143
0.1696,0.1071,0.058,0.0404,0.39,0.3825,0.4096,0.5885,0.5924,0.569,0.3647,0.3275,0.036,0.3303,0.4937,0.5015,0.2954,0.4933,0.5095,0.2312,0.0441,0.041,0.1109,0.1347,0.1347,0.4106,0.4934,0.4437,0.0805,0.5476,0.2556,0.2063,0.1572,0.2678,0.4002,0.1946,0.4195,0.4123,0.0222,0.4757,0.4304,0.3339,0.103,0.1246,0.273,0.255,0.2749,0.2845,0.3223,0.4524,0.1718,0.179,0.1459,0.1383,0.0371,0.0063,0.0129,0.0343,0.0359,0.1624,0.5043,0.5115,0.3697,0.41,0.3689,0.3735,0.5478,0.5758,0.5463,0.3531,0.191,0.109,0.1722,0.4524,0.2845,0.2885,0.2968,0.151,0.1684,0.1756,0.5556,0.5735,0.5128,0.2089,0.2437,0.3619,0.2196,0.1912,0.1912,0.0331,0.5244,0.3364,0.3473,0.3672,0.1997,0.0634,0.2305,0.2515,0.3832,0.2924,0.3315,0.6104,0.692
