run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,run94,run95,run96,run97,run98,run99,run100,run101,run102,run103
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0154,1,1,1,1,1,1,0.5,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,1,1,1,1,0.5,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.1667,1,1,1,1,1,0.25,1,1,1,1,1,1,1
1,1,1,0.5,0.0909,0.1111,0.25,1,1,1,0.5,1,1,0.5,1,1,0.5,1,1,1,0,0,1,1,1,0.5,1,1,1,0.0769,0.5,0.3333,1,0.3333,0.2,1,0.5,0.5,0.5,1,0.25,0.2,0.0112,0.0085,0.1667,1,1,1,1,1,1,1,0.5,0.5,1,0.3333,0.5,0.3333,0.1667,1,1,0.5,1,1,0.5,1,0.5,0.5,1,0.5,0.5,0.5,1,1,1,0.0049,0.0048,0.1429,0.1429,0.1667,0.5,0.5,1,1,1,1,1,1,1,0.0022,1,1,1,1,1,0.0625,0.5,1,1,1,1,0.5,1
0.25,0.5,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0.25,0.25,1,1,1,0,1,1,1,0.5,1,1,0.3333,1,0.25,1,1,1,0.5,0.2,1,1,1,1,1,1,1,1,1,0.25,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.25,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1
1,0.25,1,1,0.5,1,0.3333,0.0018,1,1,0.5,0.1,0.1,1,1,1,1,0.0526,0.2,1,0.3333,0.3333,0.2,0.25,0.5,0.3333,1,1,0.3333,1,1,1,1,0.2,0.25,1,0.5,0.3333,0.25,1,0.3333,1,0.25,1,1,0.2,1,1,1,1,0.5,1,0.3333,0.5,0.25,0.0333,0.1667,0.0323,1,1,0.5,0.5,0.25,1,0.25,1,1,1,1,0.5,0.5,0.3333,1,1,1,1,1,1,1,1,0.25,0.1,0.125,1,0.0076,0.5,1,0.1429,0.0417,1,1,1,0.5,0.5,0.1667,0.0204,1,1,1,1,0.1667,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0159,0.0175,1,1,0.5,1,1,1,1,1,1,1,1,0.3333,0.3333,1,0.5,1,0.0588,1,1,1,0.25,0.5,0.5,0.5,1,1,1,1,0.5,0.5,1,1,0.125,0.0357,0.0294,0.1429,0.1111,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,0.125,1,1,1,1,1,1,0.5,1,1,1,1,1,1
0.1429,1,0.3333,0.0714,0.1111,0.1111,0.1429,0.1,0.1,0.0625,0.1,0.0833,0.1,0.1111,1,1,1,0.0588,0.0526,0.1111,0,0,0.1667,0.1667,0.1667,0.05,0.0526,0.0039,1,0.125,0.0667,0.0714,0.037,0.0385,0.0323,0.25,0.0476,0.0455,0.125,0.0455,0.0588,0.0625,0.0112,0.1,0.1429,0.1111,1,0.0476,0.0476,0.05,0.1,0.1,0.04,0.04,0.1429,0,0.012,0,0.0026,0.0455,0.1111,0.1111,0.0476,0.0417,0.0455,0.0769,0.0526,0.0526,0.0476,0.0417,0.0667,0,0.0769,0.0588,0.0556,0.0556,0.0625,0.0323,0.0213,0.0909,0.0833,0.2,0.0769,0.1429,0.1429,0.1429,0.0714,0.0556,0.0833,0.05,0.25,0.0667,0.1429,0.1111,0.0385,0.125,0.0556,0.0526,0.3333,0.25,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,0.5,1,1,0.002,0.0024,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0625,1,0.3333,1,0.5,1,0.25,0.25,0.1111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.3333,1,1,1,1,1,1,1
1,1,0.5,0.5,0.5,0.5,0.1429,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0172,0.0147,0.5,0.0714,0.0714,1,1,0.5,0,1,0.0833,0.25,1,0.05,0.0417,0.2,0.0417,0.1,0.1111,0.3333,1,1,1,1,0.3333,0.125,1,1,1,1,1,1,0.05,0.0455,0.0025,0.0011,0.0012,0.0102,0.0035,1,0.0714,0.0714,0.0455,0.1667,0.5,0.5,1,1,1,1,0.5,0.5,0.3333,1,1,0.0909,0.0909,1,1,1,0.0476,0.0435,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.25,0.0667,1,0.5,1,1,0.2,0.0625,0.0036,0.0033,1,1,0.0159,1,1
0.3333,0.1,1,0.25,0.1111,0.1111,0.1111,0.0286,1,0.25,0.125,0.1667,0.25,0.2,0.2,0.25,0.125,0.1,0.2,0.25,0,0,0,0.3333,0.3333,0.25,0.0556,0.0213,0,0.0625,0.25,0.5,0.1429,0.1111,0.3333,1,0.1,0.0625,0.0091,0.1667,0.3333,0.3333,0.0714,0.3333,0.0909,0.0189,1,0.1429,0.1429,0.3333,0.2,0.1667,0.1429,0.1429,0.0357,0.0143,0.0015,0.0139,0.0625,0.2,0.0096,0.013,0.0064,0.25,0.2,0.0256,0.0061,0.0263,0.25,0.0833,0.2,0.2,0.2,0.3333,0.1429,0.0909,0.0312,0.1,0.1429,0.1429,0.3333,0.25,0.1,0.0076,0.5,0.0111,0.25,0.1111,1,0.0169,0.125,0.25,0.2,0.3333,0.1667,0.0263,0.3333,0.5,0.5,0.25,0.0087,0.0556,0.0222
1,0.1429,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.5,0.125,0.0312,0.125,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0714,1,1,1,1,1,0.1429,0.5,0.5,1,1,1,1,1
1,1,0.3333,0.3333,0.3333,0.3333,0.3333,1,0.5,0.5,0.5,0.5,0.3333,0.25,1,0.25,0.3333,1,0.5,1,0,0,0.3333,0.5,0.5,0.5,1,1,0.3333,0.5,0.5,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.3333,0.5,0.25,0.3333,0.1429,1,1,0.3333,0.3333,0.5,1,1,0.25,0.25,1,0,0,0,0.0714,0.25,1,1,1,0.5,0.5,1,0.5,1,0.5,0.25,0.3333,0.3333,0.1,0.5,0.5,1,1,0.3333,0.3333,0.3333,0.5,1,1,1,1,1,1,1,1,0.0035,1,0.5,0.5,0.5,0.5,0.1,0.1111,0.1111,0.3333,0.5,1,0.5,0.5
0.5,0.5,1,0.0909,0.1667,0.1667,0.0714,0.0049,1,0.25,0.3333,0.1667,1,1,1,1,1,0.5,1,0.1667,0,0,0.2,1,1,1,1,1,0.25,0.0385,0.05,0.0476,0.3333,1,1,0.5,0.5,0.5,0.5,1,1,1,0.3333,0.0625,1,0.1,0.5,1,1,1,0.0526,0.0909,0.05,0.05,0.04,0.04,0,0.0625,0.1429,1,0.1429,0.2,0.2,0.3333,0.5,1,0.3333,0.3333,1,0.1111,0.5,1,0.2,1,1,1,1,0.04,0.037,0.0385,0.1429,0.2,1,1,0.5,1,1,1,1,0.0154,1,0.5,1,0.5,0.5,0.0769,1,1,1,1,1,1,1
