run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88
0.13009,0.12757,0.15995,0.14169,0.19977,0.28286,0.30456,0.06653,0.1297,0.17583,0.2114,0.17876,0.08458,0.20314,0.26385,0.10009,0.13734,0.31645,0.13764,0.12068,0.29699,0.28841,0.08781,0.07422,0.07422,0.08401,0.27576,0.00622,0.11633,0.11633,0.17455,0.01562,0.02083,0.00481,0.15254,0.1645,0.16826,0.29414,0.29651,0.15886,0.03491,0.0472,0.03544,0.34657,0.19141,0.19992,0.00625,0.18639,0.23296,0.23296,0.2372,0.23614,0.24259,0.17107,0.49411,0.16214,0.15137,0.14169,0.19977,0.28098,0.27803,0.31421,0.07422,0.07422,0.08401,0.42398,0.42398,0.16736,0.16353,0.15,0.10042,0.01562,0.01042,0.01562,0.16826,0.17856,0.2525,0.14333,0.12285,0.17568,0.17916,0,0.03491,0.03544,0.22003,0.23296,0.21353,0.20604
0.07,0.32088,0.05472,0.04739,0.2501,0.01953,0,0.02769,0.07078,0.05235,0.04042,0.06943,0,0.14737,0.11392,0,0,0.08265,0.1001,0.09412,0,0,0,0.24058,0.24049,0.24042,0.29726,0,0.07731,0.07731,0.123,0.06325,0.06325,0.00329,0.10276,0.23329,0.0871,0.06988,0.06266,0,0.18675,0.2002,0.18675,0,0.11068,0,0.0375,0.22161,0.03132,0.03132,0,0,0.05539,0.12754,0.02344,0.12754,0.0696,0.04739,0.2501,0.01724,0.00694,0.00625,0.24058,0.24049,0.24042,0,0,0.64243,0.07432,0.15385,0.01339,0.06325,0.00625,0.07604,0.0871,0.01671,0.03646,0.10309,0,0,0,0.04875,0.18675,0.18675,0.23025,0.03132,0,0.00347
0.10644,0.11038,0.15638,0.14441,0,0.03185,0.15952,0.13799,0.03239,0.12331,0.16133,0.14856,0.02438,0.14855,0.16106,0.02974,0.16692,0.16785,0.11083,0.05206,0.12988,0.09906,0.03703,0.13708,0.13708,0.13535,0.2002,0.00521,0.13922,0.13922,0.13413,0.18873,0.25704,0.00417,0.05286,0,0.04592,0.18258,0.17099,0,0.06701,0.03899,0.07379,0.00446,0,0,0.11757,0.00391,0.16108,0.16778,0.11324,0.11295,0.09772,0.1649,0.0319,0.16592,0.07422,0.14441,0,0.05061,0.05872,0.06482,0.13708,0.13708,0.13535,0,0,0.01042,0.10969,0.12541,0.08301,0.18873,0.03776,0.25472,0.04592,0.02083,0.0976,0.08397,0,0,0,0.11065,0.06701,0.07379,0.05157,0.16108,0.16687,0.0697
0.06462,0.05031,0.03125,0.0442,0.13652,0.20225,0,0.03078,0.03248,0.12317,0.0218,0.05162,0.03276,0.07285,0.1212,0.02168,0.14736,0.16586,0.18825,0.03656,0.0625,0.03125,0.03125,0.27542,0.32243,0.27344,0.0515,0,0.13065,0.13065,0.04264,0.11155,0.10824,0,0.02601,0.16831,0.07035,0.0245,0,0.03182,0.08378,0.02276,0.08483,0.0199,0.16115,0.02093,0,0.22048,0.06901,0,0.04996,0.05052,0.11468,0.01309,0.01643,0.01538,0.0724,0.0442,0.13652,0.0979,0.09964,0.10856,0.27542,0.32243,0.27344,0,0,0.04318,0.15567,0.17105,0.11145,0.11155,0,0.10753,0.07035,0.02214,0.01689,0.00481,0.12511,0.12511,0.12313,0.01367,0.08378,0.08483,0.10949,0.06901,0.03125,0.01003
0,0.0125,0,0,0.08556,0.0918,0.00625,0.26064,0.05026,0.31146,0.06715,0.27401,0.00347,0.0625,0,0.00368,0.00521,0.01293,0,0,0.02804,0.02804,0.02804,0.1236,0.11551,0.1236,0,0,0.07027,0.07027,0.0125,0,0,0,0,0,0,0,0,0.22962,0.07241,0,0.07241,0,0.29738,0.29864,0.01982,0.38036,0.19041,0.19041,0.03125,0.03125,0.03125,0,0.02202,0,0,0,0.08556,0.15421,0.27015,0.1272,0.1236,0.11551,0.1236,0,0,0,0.08203,0.07715,0.01562,0,0,0.00313,0,0,0,0,0.00625,0.0125,0.01562,0,0.07241,0.07241,0.28651,0.19041,0.29728,0.01981
0,0,0.03566,0.10368,0.03989,0.07786,0.0889,0.03487,0.04129,0.05189,0,0.05132,0.0735,0,0,0.04523,0.04628,0,0.01172,0,0.21386,0.15962,0.1465,0.06211,0.06211,0.05465,0,0,0.03724,0.03724,0.03367,0.07854,0.07877,0,0.01042,0,0.01042,0,0,0.35307,0.37284,0.04737,0.37363,0.01562,0.09797,0.37908,0,0.14281,0.01843,0.01843,0.07227,0.0625,0.06571,0,0,0.02337,0.04632,0.10368,0.03989,0.11602,0.15744,0.18974,0.06211,0.06211,0.05465,0.01562,0.01562,0,0.04461,0.04207,0.0125,0.06755,0,0.08842,0.01042,0,0.03146,0,0.02768,0.03563,0.02816,0.12681,0.37284,0.37363,0.02474,0.01843,0.06773,0.18067
0.16745,0.16747,0.10824,0.15924,0.10824,0.08318,0.17836,0.02051,0.05461,0.15673,0.17382,0.19369,0.28757,0.18121,0.17104,0.24666,0.18413,0.1668,0.17079,0.17613,0.2132,0.2132,0.18085,0.21787,0.22337,0.32827,0.16906,0,0.24232,0.24232,0.30505,0.18511,0.18978,0.00893,0.08479,0.14669,0.16523,0.11424,0.11539,0,0.17469,0.06568,0.17487,0.18275,0.18275,0.10157,0.1212,0.1966,0.21444,0.21444,0.12938,0.12725,0.16579,0.16747,0.14562,0.15844,0.16741,0.15924,0.10824,0.03004,0.0465,0.05588,0.21787,0.22337,0.32827,0.17928,0.17928,0.18104,0.41873,0.33494,0.01641,0.18511,0.02776,0.21715,0.16523,0.17337,0.16503,0.14024,0.18939,0.18939,0.18675,0.59912,0.17469,0.17487,0.16853,0.21444,0.18633,0.25152
0.20066,0.25484,0.08138,0.08367,0.04346,0.21289,0.10166,0.1667,0.01562,0.16162,0.04438,0.14703,0.25044,0.15408,0.27651,0.26134,0.26658,0.29099,0.05272,0.01813,0.17443,0.17443,0.17443,0.18044,0.18038,0.18019,0.0729,0.0125,0.17047,0.17047,0.10425,0.08675,0.08958,0,0.08063,0.01113,0.11596,0,0.01618,0.07651,0.05035,0,0.05035,0.26467,0.14425,0.1072,0.08416,0.19925,0.2715,0.2715,0.05482,0.00987,0.02715,0.02946,0.04986,0.02946,0.11838,0.08367,0.04346,0.20152,0.20937,0.19425,0.18044,0.18038,0.18019,0.14257,0.14257,0.2002,0.05254,0.0675,0.07848,0.08675,0.0625,0.01755,0.11596,0.04596,0,0.02869,0.08712,0.07799,0.04418,0.00417,0.05035,0.05035,0.20164,0.2715,0.08518,0.1764
0.03479,0.03731,0.43945,0.21875,0.00391,0.06169,0.12403,0.18352,0.024,0,0.00781,0.00481,0.02376,0.11939,0.01183,0,0.02705,0.01367,0.02409,0.00781,0.07644,0.07644,0.03874,0.50446,0.50446,0.51724,0.07545,0,0.06418,0.06418,0.02491,0.51761,0.48173,0,0.15196,0.00789,0.09668,0.02148,0.0153,0.00625,0.10144,0.00987,0.0976,0.00781,0,0.00417,0,0,0.05805,0.05805,0.24439,0.24421,0.11255,0.02083,0.01738,0.01576,0.4375,0.21875,0.00391,0.59295,0.54567,0.51866,0.50446,0.50446,0.51724,0.00329,0.00329,0,0.11772,0.26474,0.13503,0.53812,0.13298,0.49651,0.09668,0.00368,0.03962,0,0,0.03977,0.03365,0.06994,0.10144,0.0976,0.01982,0.05805,0.02083,0.14507
0.02951,0.12508,0.02009,0.01537,0.01585,0.00568,0.14462,0.04956,0.09485,0.17138,0.03219,0.15196,0.00783,0.14498,0.04397,0.00887,0.01869,0.04401,0.03705,0.03976,0.0247,0.0247,0.0247,0.10134,0.13005,0.1012,0.01238,0,0.21662,0.21662,0.11399,0.1875,0.1875,0,0.0224,0.05418,0.10413,0.03713,0.02005,0.0908,0.07825,0.07505,0.07825,0.06342,0.16572,0.22902,0.03044,0.07789,0.0972,0.0972,0.06487,0.06487,0.12382,0.02796,0.01735,0.02796,0.01501,0.01537,0.01585,0.04743,0.08603,0.06874,0.10134,0.13005,0.1012,0.04703,0.04703,0.07527,0.11032,0.10044,0.04122,0.1875,0.01941,0.1875,0.10413,0.14833,0.03189,0.01555,0.08258,0.10628,0.10722,0.04565,0.07825,0.07825,0.07851,0.0972,0.0245,0.28449
