run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88
0.16384,0.17682,0.1819,0.15973,0.32376,0.22959,0.2956,0.0978,0.10455,0.252,0.29872,0.24079,0.15315,0.33968,0.36797,0.25998,0.31985,0.36231,0.16149,0.09156,0.38165,0.37048,0.15742,0.04678,0.04678,0.0589,0.31438,0.01549,0.20147,0.20147,0.22157,0.01453,0.01687,0.00886,0.23664,0.17756,0.24544,0.25707,0.25892,0.15327,0.02954,0.10097,0.02992,0.43372,0.3502,0.36112,0.00975,0.29891,0.2784,0.2784,0.17883,0.17182,0.18309,0.25563,0.3815,0.22613,0.2329,0.15973,0.32376,0.2239,0.24014,0.26927,0.04678,0.04678,0.0589,0.41422,0.41422,0.19296,0.23145,0.19952,0.19221,0.01453,0.01202,0.01453,0.24544,0.24712,0.29227,0.17886,0.23496,0.27832,0.24747,0,0.02954,0.02992,0.45307,0.2784,0.3028,0.22053
0.05131,0.27554,0.14031,0.07461,0.38033,0.02162,0,0.03884,0.11026,0.12102,0.04095,0.09856,0,0.1573,0.12299,0,0,0.12484,0.14881,0.11081,0,0,0,0.13307,0.13297,0.13287,0.25989,0,0.057,0.057,0.08457,0.08577,0.08577,0.00469,0.06617,0.09397,0.05563,0.10341,0.06741,0,0.13012,0.06961,0.13012,0,0.04855,0,0.02355,0.08511,0.04041,0.04041,0,0,0.07569,0.13213,0.0192,0.13213,0.17942,0.07461,0.38033,0.02076,0.00611,0.00587,0.13307,0.13297,0.13287,0,0,0.62302,0.08859,0.09058,0.01558,0.08577,0.00587,0.11806,0.05563,0.02044,0.03838,0.15489,0,0,0,0.07394,0.13012,0.13012,0.09691,0.04041,0,0.00478
0.15272,0.15678,0.1621,0.13064,0,0.05468,0.18639,0.12464,0.08746,0.11445,0.18077,0.16199,0.03466,0.14101,0.17322,0.05152,0.20114,0.18604,0.15019,0.10463,0.10514,0.22967,0.05582,0.1865,0.1865,0.18427,0.12459,0.00981,0.16464,0.16464,0.1362,0.19181,0.23117,0.00908,0.11034,0,0.07577,0.18694,0.18306,0,0.04586,0.05058,0.0637,0.0093,0,0,0.1935,0.00889,0.18058,0.19428,0.11784,0.11756,0.17765,0.19145,0.04542,0.19256,0.05037,0.13064,0,0.08617,0.08922,0.09445,0.1865,0.1865,0.18427,0,0,0.01294,0.09898,0.139,0.0942,0.19181,0.03385,0.22085,0.07577,0.01816,0.07621,0.09681,0,0,0,0.09154,0.04586,0.0637,0.08901,0.18058,0.20824,0.14496
0.19781,0.10288,0.02987,0.05845,0.26735,0.1827,0,0.04951,0.05981,0.55989,0.05256,0.15494,0.07941,0.22979,0.28599,0.0436,0.27682,0.2901,0.41459,0.0845,0.04735,0.02987,0.02987,0.39721,0.472,0.38323,0.17972,0,0.22829,0.22829,0.06573,0.21416,0.18013,0,0.08375,0.1907,0.13746,0.05608,0,0.05842,0.22362,0.06244,0.22557,0.05116,0.68369,0.04287,0,0.63508,0.15824,0,0.1713,0.17206,0.2457,0.03635,0.05667,0.047,0.07335,0.05845,0.26735,0.09147,0.093,0.10896,0.39721,0.472,0.38323,0,0,0.07388,0.15946,0.20294,0.12219,0.21416,0,0.16394,0.13746,0.03464,0.05679,0.01244,0.3225,0.3225,0.31977,0.02801,0.22362,0.22557,0.15028,0.15824,0.02987,0.02521
0,0.03551,0,0,0.13817,0.07722,0.01369,0.41175,0.07301,0.4888,0.16716,0.46173,0.01115,0.04735,0,0.01135,0.01279,0.04422,0,0,0.07699,0.07699,0.07699,0.21082,0.1946,0.21082,0,0,0.0711,0.0711,0.01832,0,0,0,0,0,0,0,0,0.51603,0.14285,0,0.14285,0,0.59296,0.59666,0.03325,0.81684,0.39101,0.39101,0.02987,0.02987,0.02987,0,0.07026,0,0,0,0.13817,0.31949,0.38603,0.24891,0.21082,0.1946,0.21082,0,0,0,0.07102,0.06774,0.02039,0,0,0.01078,0,0,0,0,0.01369,0.01832,0.02039,0,0.14285,0.14285,0.72794,0.39101,0.63806,0.03251
0,0,0.08164,0.14562,0.08699,0.09506,0.08596,0.06991,0.12513,0.18718,0,0.21465,0.13248,0,0,0.0793,0.08037,0,0.03475,0,0.3555,0.30695,0.27398,0.2166,0.2166,0.18553,0,0,0.09359,0.09359,0.09106,0.19666,0.19719,0,0.03344,0,0.03344,0,0,0.45145,0.61702,0.12229,0.62062,0.02039,0.24696,0.75415,0,0.30288,0.0663,0.0663,0.08078,0.04735,0.17835,0,0,0.05354,0.13004,0.14562,0.08699,0.19476,0.24779,0.25216,0.2166,0.2166,0.18553,0.02039,0.02039,0,0.09991,0.09853,0.01832,0.15947,0,0.19635,0.03344,0,0.10625,0,0.06586,0.07263,0.03861,0.29942,0.61702,0.62062,0.03551,0.0663,0.23197,0.2878
0.1429,0.14323,0.13064,0.14517,0.13064,0.06045,0.15475,0.02469,0.05559,0.13876,0.1563,0.21079,0.21307,0.16607,0.15506,0.24429,0.20522,0.15277,0.145,0.15797,0.20228,0.20228,0.16637,0.2208,0.22517,0.27077,0.18639,0,0.2569,0.2569,0.26187,0.18686,0.20521,0.00748,0.06622,0.1196,0.1326,0.12193,0.12245,0,0.24504,0.05576,0.24557,0.17213,0.17213,0.12523,0.13553,0.28053,0.18248,0.18248,0.13165,0.12143,0.13838,0.14323,0.11322,0.12929,0.15103,0.14517,0.13064,0.02806,0.05604,0.06043,0.2208,0.22517,0.27077,0.17378,0.17378,0.18044,0.30654,0.25751,0.01429,0.18686,0.02316,0.28192,0.1326,0.15122,0.14181,0.11084,0.24571,0.24571,0.20498,0.34049,0.24504,0.24557,0.16352,0.18248,0.18391,0.20783
0.14485,0.26805,0.13845,0.14581,0.06003,0.14718,0.30314,0.2137,0.01558,0.52614,0.10383,0.4775,0.22379,0.30628,0.47554,0.25389,0.28194,0.51088,0.08157,0.04432,0.17882,0.17882,0.17882,0.26896,0.27601,0.26825,0.07561,0.01399,0.21719,0.21719,0.15965,0.14555,0.14934,0,0.21869,0.02023,0.16689,0,0.03639,0.26197,0.08544,0,0.08544,0.2498,0.48421,0.16255,0.08407,0.4331,0.19728,0.19728,0.10225,0.02511,0.07103,0.04454,0.05541,0.04454,0.16983,0.14581,0.06003,0.22583,0.26056,0.1964,0.26896,0.27601,0.26825,0.16779,0.16779,0.1241,0.10252,0.15329,0.06644,0.14555,0.0844,0.04374,0.16689,0.05487,0,0.07702,0.11889,0.11204,0.08741,0.00904,0.08544,0.08544,0.51154,0.19728,0.101,0.32871
0.05895,0.05977,0.19014,0.11606,0.00643,0.10775,0.13028,0.34881,0.02483,0,0.00829,0.0069,0.01912,0.14187,0.01501,0,0.02626,0.01555,0.01933,0.00829,0.10144,0.10144,0.04615,0.31972,0.31972,0.41004,0.04214,0,0.13379,0.13379,0.04072,0.37357,0.31167,0,0.10635,0.01298,0.07599,0.01891,0.01646,0.0076,0.10068,0.01824,0.09866,0.00829,0,0.00657,0,0,0.06742,0.06742,0.19719,0.19692,0.16598,0.01314,0.01727,0.01635,0.18395,0.11606,0.00643,0.41902,0.37038,0.34898,0.31972,0.31972,0.41004,0.00608,0.00608,0,0.15263,0.31118,0.26592,0.38632,0.13697,0.36665,0.07599,0.0063,0.02534,0,0,0.05131,0.04832,0.10968,0.10068,0.09866,0.01846,0.06742,0.01314,0.15079
0.09536,0.27488,0.08462,0.05805,0.05834,0.01619,0.29416,0.07614,0.10835,0.61558,0.08556,0.37042,0.02872,0.33422,0.17771,0.02989,0.07248,0.14386,0.12655,0.14031,0.10098,0.10098,0.10098,0.20242,0.27279,0.20211,0.03327,0,0.31569,0.31569,0.19538,0.17416,0.17416,0,0.07679,0.10768,0.15563,0.16172,0.06277,0.27889,0.12769,0.14427,0.12769,0.22641,0.56434,0.6947,0.07058,0.48148,0.1952,0.1952,0.13897,0.13897,0.19901,0.10497,0.06041,0.10497,0.05763,0.05805,0.05834,0.11209,0.12557,0.14006,0.20242,0.27279,0.20211,0.10655,0.10655,0.21105,0.19791,0.172,0.11857,0.17416,0.05139,0.17416,0.15563,0.34781,0.09816,0.04747,0.23423,0.26655,0.26822,0.09989,0.12769,0.12769,0.19989,0.1952,0.11006,0.35735
