run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62
0.27821,0.23803,0.08448,0.00313,0.00622,0.00622,0.09738,0.25221,0.31317,0.2691,0.03611,0.05195,0.21598,0.2516,0.2488,0.25314,0.24568,0,0.0375,0.1875,0.18552,0.26437,0.21432,0.27805,0.08401,0.11531,0.1666,0.13467,0.28507,0.27371,0.27956,0.21372,0.19719,0.22278,0.15119,0.15079,0.13195,0.28456,0.17748,0.29449,0.3035,0.29348,0.30755,0.02504,0.2488,0.24419,0.25314,0.1961,0.20079,0.15991,0.16321,0.16279,0.09562,0.28678,0.26931,0.28502,0.21372,0.19719,0.22278,0.15119,0.13195,0.10355
0.0625,0.0625,0,0.19972,0.19972,0.19972,0,0.20135,0.19842,0.16798,0.03451,0.09648,0.00694,0.18105,0.18105,0.16928,0.00347,0,0,0,0,0.00625,0,0,0.01042,0.02921,0.13936,0.13063,0.17946,0.16656,0,0.12252,0.12059,0.15789,0.00521,0,0,0.06436,0.06426,0.06436,0.20135,0.20135,0.20135,0.01064,0.18105,0.18183,0.16928,0,0,0,0.00781,0.00781,0.00446,0.18001,0.16756,0,0.12252,0.12059,0.15789,0.00521,0,0
0.2811,0.20287,0.0425,0.30493,0.31635,0.33217,0.32308,0.05512,0.0581,0.04288,0.00417,0.00446,0.17772,0.32043,0.32362,0.33367,0.08146,0.36938,0.02602,0.09106,0.18614,0.08203,0.2057,0.21352,0.05722,0.38157,0.3823,0.38346,0,0,0.23419,0.36309,0.36476,0.31332,0.3735,0.3736,0.33244,0.35102,0.35149,0.3512,0.08272,0.01562,0.0332,0,0.32362,0.1447,0.33367,0.21918,0.21377,0.36207,0.31538,0.35148,0.37118,0,0.01103,0.23679,0.36309,0.36476,0.31332,0.3735,0.33244,0.30641
0.09664,0.10672,0.04257,0,0,0,0.00347,0.05107,0.04167,0.03702,0.02212,0.00521,0.02458,0.02409,0.03613,0.02474,0.04732,0,0,0,0.16221,0.07618,0.22559,0.1136,0,0.03313,0.10684,0.02355,0.11822,0.12517,0.12534,0.13132,0.05534,0.05173,0.05859,0.05776,0,0.22416,0.22416,0.23246,0.06592,0.03296,0.03479,0,0.03613,0.11396,0.02474,0.22559,0.13835,0.01562,0,0,0.03516,0.11939,0.13091,0.12534,0.13132,0.05534,0.05173,0.05859,0,0
0.11414,0.0965,0.14025,0.04191,0.04191,0.04191,0.03157,0.13691,0.13098,0.15509,0.06747,0.05466,0.04102,0.06095,0.05279,0.06095,0.12503,0.03599,0.10095,0.11011,0.09043,0.15915,0.04079,0.10383,0.05329,0.14819,0.14909,0.13103,0.16068,0.15589,0.12565,0.13588,0.03044,0.09365,0.02255,0.01746,0.01183,0.03245,0.03228,0.03245,0.14919,0.11354,0.11836,0.06405,0.05279,0.03788,0.06095,0.02818,0.08767,0.00887,0.07315,0.07286,0.10314,0.15959,0.16093,0.14511,0.13588,0.03044,0.09365,0.02255,0.01183,0
0,0,0,0,0,0,0,0.00893,0.00446,0.04337,0.02141,0.02917,0.04297,0.01442,0.01442,0.01442,0.0245,0,0,0,0.02013,0.00781,0,0,0.01641,0.00781,0,0.01875,0,0,0,0,0,0.01103,0,0,0,0,0,0,0.00521,0.00417,0.00368,0.0245,0.01442,0,0.01442,0,0,0,0,0,0,0,0,0,0,0,0.01103,0,0,0
0.27434,0.27055,0.0153,0.27765,0.27765,0.27765,0.26957,0.02295,0.012,0.04816,0.00313,0.00313,0.09339,0.01558,0.01558,0.01853,0.0125,0.17095,0.00781,0.02148,0.21474,0.0416,0.21606,0.23207,0,0.04583,0.24435,0.06289,0.19512,0.1875,0.27399,0.21458,0.2002,0.21352,0.21289,0.20681,0.23015,0,0,0,0.02885,0.03928,0.03188,0.00625,0.01558,0.12138,0.01853,0.21817,0.21655,0.2002,0.04955,0.19596,0.19385,0.1875,0.19512,0.27192,0.21458,0.2002,0.21352,0.21289,0.23015,0.23314
0.3545,0.3543,0.19776,0.37272,0.37272,0.37272,0.34401,0.37318,0.3371,0.09262,0.36701,0.37263,0.37828,0.37512,0.37512,0.3751,0.21619,0.37204,0.05776,0.08004,0.37326,0.37451,0.36444,0.36275,0.23469,0.37272,0.37272,0.37272,0.37657,0.37367,0.37402,0.37272,0.37038,0.36691,0.37012,0.36917,0.24309,0.23636,0.23582,0.23725,0.363,0.33261,0.33275,0.37671,0.37512,0.37082,0.3751,0.33915,0.36519,0.36497,0.31298,0.30449,0.29141,0.37734,0.37599,0.37421,0.37272,0.37038,0.36691,0.37012,0.24309,0.24309
0,0,0,0,0,0,0,0,0.00521,0.02177,0,0,0,0.01227,0.01432,0.01314,0,0,0,0,0,0,0.01042,0.00625,0,0.00446,0.00417,0,0,0,0,0,0,0.00391,0,0,0.00329,0,0,0,0.00481,0.00347,0.00329,0,0.01432,0.01774,0.01314,0.01238,0.00625,0.00725,0,0,0,0,0,0,0,0,0.00391,0,0.00329,0
0.15798,0.08227,0.27313,0.07543,0.07543,0.07543,0.05197,0.11602,0.05619,0.18445,0.07616,0.07715,0.07639,0.09147,0.09134,0.09106,0.26367,0.26367,0,0.00959,0.07001,0.04354,0.18826,0.28595,0.01909,0.20926,0.22051,0.21797,0.10375,0.10357,0.21331,0.08362,0.07227,0.08401,0.04029,0.05078,0.01172,0.02083,0.03125,0.02083,0.13251,0.11409,0.10896,0.04723,0.09134,0.10089,0.09106,0.18763,0.2143,0.1048,0.09302,0.06558,0.01948,0.1376,0.1367,0.22725,0.0465,0.04297,0.04788,0.04029,0.01172,0.01172
