run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62
0.33779,0.29995,0.22404,0.01322,0.02665,0.02665,0.18574,0.57485,0.59134,0.40151,0.13656,0.23608,0.32621,0.58694,0.55478,0.6019,0.34847,0,0.06737,0.17416,0.26862,0.32874,0.32432,0.36859,0.19449,0.30428,0.40335,0.36859,0.56654,0.55737,0.37068,0.52082,0.46623,0.57965,0.19854,0.19795,0.1934,0.46984,0.3913,0.47946,0.57291,0.54609,0.52108,0.09017,0.55478,0.54462,0.6019,0.2796,0.29857,0.19039,0.23786,0.20539,0.19428,0.57141,0.55579,0.40231,0.52082,0.46623,0.57965,0.19854,0.1934,0.16498
0.08848,0.08848,0,0.60636,0.60636,0.60636,0,0.63085,0.63811,0.51356,0.18597,0.2742,0.02663,0.56474,0.56474,0.53614,0.02083,0,0,0,0,0.02558,0,0,0.03152,0.08975,0.43456,0.41514,0.52609,0.4886,0,0.32603,0.30556,0.31513,0.02391,0,0,0.23489,0.23456,0.23489,0.63085,0.63085,0.63085,0.06386,0.56474,0.56421,0.53614,0,0,0,0.02791,0.02791,0.02265,0.52816,0.49248,0,0.32603,0.30556,0.31513,0.02391,0,0
0.4656,0.46042,0.08716,0.30268,0.35452,0.43685,0.58046,0.1341,0.14962,0.10372,0.01184,0.01212,0.57848,0.37071,0.37529,0.48503,0.09855,0.69951,0.05562,0.1338,0.34401,0.0901,0.38149,0.42924,0.1172,0.73496,0.76729,0.82443,0,0,0.33948,0.69874,0.67096,0.46305,0.82698,0.82634,0.42523,0.79476,0.79752,0.79629,0.09955,0.02039,0.06145,0,0.37529,0.24336,0.48503,0.48569,0.43024,0.8096,0.5493,0.5872,0.624,0,0.03406,0.34361,0.69874,0.67096,0.46305,0.82698,0.42523,0.36775
0.17946,0.18993,0.13134,0,0,0,0.01255,0.15204,0.12943,0.12615,0.08844,0.0144,0.08197,0.03919,0.04803,0.03997,0.13895,0,0,0,0.23412,0.16321,0.22875,0.19875,0,0.07011,0.2631,0.0809,0.32717,0.33611,0.21066,0.23529,0.08785,0.15341,0.11086,0.10979,0,0.25815,0.25815,0.26639,0.1193,0.08956,0.12233,0,0.04803,0.16083,0.03997,0.22875,0.20673,0.04321,0,0,0.09243,0.31944,0.3328,0.21066,0.23529,0.08785,0.15341,0.11086,0,0
0.31246,0.25885,0.50203,0.18726,0.18726,0.18726,0.20858,0.44803,0.49159,0.57951,0.35274,0.25426,0.17805,0.40475,0.3191,0.40475,0.45311,0.19578,0.21981,0.23572,0.33713,0.56521,0.15973,0.34269,0.26786,0.51573,0.51769,0.32276,0.52863,0.53439,0.42796,0.53909,0.2054,0.36481,0.16623,0.11399,0.06319,0.20514,0.20465,0.20514,0.54436,0.40735,0.41468,0.34228,0.3191,0.26574,0.40475,0.1357,0.2227,0.05696,0.37857,0.42977,0.43252,0.54763,0.57092,0.48374,0.53909,0.2054,0.36481,0.16623,0.06319,0
0,0,0,0,0,0,0,0.03448,0.02648,0.27868,0.09427,0.16781,0.10529,0.08151,0.08151,0.08151,0.07703,0,0,0,0.07172,0.03263,0,0,0.06588,0.03263,0,0.08971,0,0,0,0,0,0.07442,0,0,0,0,0,0,0.02796,0.02586,0.02481,0.10106,0.08151,0,0.08151,0,0,0,0,0,0,0,0,0,0,0,0.07442,0,0,0
0.26706,0.25376,0.03028,0.29904,0.29904,0.29904,0.25265,0.03607,0.02762,0.09359,0.01101,0.01101,0.20168,0.02989,0.02989,0.04188,0.0187,0.28333,0.01525,0.03479,0.21762,0.11069,0.18762,0.24142,0,0.0941,0.29516,0.10777,0.17805,0.14503,0.25736,0.23668,0.16585,0.21733,0.17553,0.18021,0.25171,0,0,0,0.06059,0.10483,0.07153,0.01397,0.02989,0.17436,0.04188,0.19851,0.18823,0.18422,0.07365,0.16225,0.16028,0.14503,0.17805,0.25524,0.23668,0.16585,0.21733,0.17553,0.25171,0.26519
0.73701,0.72566,0.60596,0.74739,0.74739,0.74739,0.58086,0.76003,0.69785,0.30475,0.61488,0.71045,0.81723,0.77008,0.77008,0.76987,0.61376,0.73301,0.11279,0.14301,0.7759,0.73247,0.62851,0.60167,0.64049,0.74739,0.74739,0.74739,0.79566,0.71701,0.72925,0.74739,0.69344,0.63694,0.68222,0.66724,0.31053,0.49852,0.49595,0.51188,0.7065,0.55098,0.55157,0.76228,0.77008,0.70569,0.76987,0.47024,0.5976,0.60887,0.43474,0.4088,0.40158,0.81224,0.78197,0.73035,0.74739,0.69344,0.63694,0.68222,0.31053,0.31053
0,0,0,0,0,0,0,0,0.05604,0.1861,0,0,0,0.12026,0.12784,0.12326,0,0,0,0,0,0,0.07386,0.05994,0,0.05308,0.05184,0,0,0,0,0,0,0.05073,0,0,0.04798,0,0,0,0.05446,0.04881,0.04798,0,0.12784,0.13928,0.12326,0.11885,0.05994,0.09982,0,0,0,0,0,0,0,0,0.05073,0,0.04798,0
0.22625,0.17833,0.26659,0.19049,0.19049,0.19049,0.13919,0.2336,0.1382,0.3709,0.09527,0.08762,0.11352,0.23299,0.23261,0.12744,0.23676,0.23676,0,0.0256,0.15856,0.12921,0.29572,0.42013,0.06028,0.19356,0.25334,0.20133,0.19055,0.19043,0.21729,0.11143,0.06563,0.0845,0.07625,0.05473,0.02736,0.02419,0.03053,0.02419,0.22107,0.2699,0.26365,0.07102,0.23261,0.24329,0.12744,0.29458,0.32746,0.13027,0.0913,0.05959,0.043,0.17701,0.17572,0.24068,0.0706,0.04925,0.06303,0.07625,0.02736,0.02736
0.17817,0.22491,0.1892,0.55708,0.55708,0.55708,0.3221,0.28268,0.24671,0.21098,0.04594,0.03952,0.18117,0.18374,0.17912,0.17683,0.17446,0.47761,0.16665,0.23844,0.37859,0.20377,0.18584,0.24944,0.19648,0.749,0.51867,0.51867,0.12785,0.13715,0.17292,0.16371,0.21154,0.24907,0.33797,0.32171,0.21498,0.22752,0.29895,0.21233,0.36056,0.3226,0.32316,0.04397,0.17912,0.2585,0.17683,0.14728,0.16072,0.19699,0.2024,0.24777,0.23741,0.1327,0.14758,0.15853,0.5575,0.2424,0.30872,0.33797,0.21498,0.14502
0,0,0,0,0,0.63093,0,0,0,0,0,0,0,0,0,0.43068,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43068,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
