run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48
0.02227,0.07091,0.02734,0.94955,0.39361,0.39358,0.10532,0.95145,0.32558,0.28882,0.25014,0.06593,0.06531,0.05803,0.04695,0.04874,0.04537,0.4843,0.21058,0.00481,0,0.32206,0.24791,0.37574,0.51242,0.36241,0.36217,0.36131,0.07449,0.51392,0.39361,0.39358,0.1718,0.14433,0.14632,0.05067,0.08134,0.32206,0.32206,0.11137,0.11137,0.11137,0.12814,0.37966,0.26928,0.36314,0.35671,0.29469
0,0,0,0,0,0,0,0,0,0.00446,0.00446,0,0,0,0,0,0,0,0,0,0,0,0.31289,0.13477,0,0,0,0,0,0,0,0,0.00521,0.00481,0.00481,0,0.00735,0,0,0,0,0,0.50221,0.09779,0,0,0,0
0,0.0128,0.00735,0.07351,0.10021,0.10114,0.18397,0.16267,0.01044,0.01381,0.0532,0.15397,0.15397,0.11305,0.16098,0.16232,0.16233,0.22233,0.21304,0.39763,0.38641,0.26983,0.37128,0.19907,0.23084,0.03023,0.0701,0.06043,0.3152,0.29507,0.10021,0.10114,0.00446,0.0125,0.01201,0.15315,0.13335,0.26983,0.26983,0.17503,0.17068,0.16971,0.25544,0.1703,0.16002,0.07459,0.03683,0.0257
0.0375,0,0.0375,0.47219,0.28497,0.57736,0.07787,0.94404,0.19254,0.48368,0.24304,0.4838,0.48384,0.32055,0,0.06169,0,0.48344,0.94226,0.08817,0.06934,0,0.95767,0.96745,0.9503,0.47897,0.4748,0.4808,0.52117,0.52117,0.28497,0.57736,0.16243,0.11788,0.1463,0,0.96714,0,0,0.10417,0.10417,0.1033,0.95766,0.96745,0.95864,0.47888,0.47876,0.24109
0.32457,0.19625,0.32457,0.26519,0.41412,0.36722,0.00368,0.22778,0.16401,0.1651,0.10981,0.95215,0.95215,0.95158,0.21039,0.33856,0.16873,0.3692,0.47646,0.13016,0.14551,0.14708,0.24332,0.38251,0.38354,0.21026,0.19068,0.17375,0.09075,0.30191,0.41412,0.36722,0.14014,0.94762,0.16497,0.32121,0.085,0.14725,0.13872,0.25158,0.25158,0.20368,0.95316,0.38527,0.37506,0.19429,0.24151,0.21138
0.0625,0.01562,0.0625,0.00656,0.11084,0.11752,0,0,0.13421,0.12067,0.12055,0.08314,0.08314,0.1162,0.11776,0.17613,0.11735,0.10439,0.07228,0.0899,0.0946,0.13857,0.08766,0.10791,0.08647,0.14896,0.1473,0.1508,0,0,0.11084,0.11752,0.23812,0.10035,0.31551,0.12077,0,0.13857,0.13857,0.14493,0.14386,0.10662,0.08988,0.14847,0.12659,0.15019,0.1522,0.14497
0,0.00368,0,0,0.06146,0.32648,0.00783,0.00829,0.02087,0,0,0,0,0,0,0,0,0,0,0.0125,0.01042,0,0.38566,0.38566,0.0794,0.03841,0.03841,0.03435,0,0,0.06146,0.32648,0.00781,0.01562,0.01042,0,0,0,0,0.01479,0.01076,0.00625,0.08438,0.38566,0.15352,0.03841,0.03681,0.03548
0.01019,0.00347,0.00625,0.22415,0.33867,0.96808,0.17613,0.1914,0.15655,0.17269,0.16058,0.20598,0.20598,0.20617,0.18221,0.16584,0.18221,0.34369,0.23499,0.21062,0.22439,0.21068,0.233,0.2494,0.23428,0.21656,0.18695,0.197,0.17613,0.19528,0.33867,0.96808,0.15842,0.15976,0.15646,0.1376,0.17613,0.21068,0.21068,0.1982,0.17613,0.19252,0.20466,0.22439,0.50924,0.20871,0.18898,0.20739
0,0,0,0.48925,0.96808,0.96808,0.14161,0.16511,0.48131,0.32227,0.24275,0.58501,0.58501,0.58501,0.64375,0.96808,0.64375,0.94171,0.96808,0.96808,0.96808,0.96722,0.24195,0.48861,0.96808,0.9375,0.94922,0.94587,0.958,0.32792,0.96808,0.96808,0.24014,0.19321,0.47438,0.47842,0.16511,0.96722,0.96722,0.26135,0.26135,0.26135,0.94513,0.96727,0.958,0.94311,0.9375,0.93834
0,0,0,0.00368,0,0,0,0,0,0,0,0.02409,0.02409,0.06576,0,0,0,0,0.01411,0,0,0.00313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00313,0.00313,0,0,0,0,0.06696,0.00625,0,0,0
0,0,0,0,0,0,0,0,0,0.00521,0.00391,0.01042,0.01311,0.02502,0,0,0,0.0127,0.01996,0,0,0,0,0,0.00313,0,0,0,0,0,0,0,0.04688,0.04688,0,0.00329,0,0,0,0.02083,0.03125,0.01042,0,0,0.00481,0,0,0
0,0,0,0.00625,0.09836,0.05981,0.0769,0.03575,0.23828,0.28223,0.15039,0,0,0.05208,0,0,0,0.02616,0,0,0,0.00446,0.00625,0,0.00694,0,0,0,0.06253,0.0918,0.09836,0.05981,0.1875,0.23438,0.15625,0.05843,0.0638,0.00446,0.00446,0,0,0,0,0,0.00781,0,0,0
0,0,0.00313,0,0.19782,0.19782,0,0.01562,0.94271,0.94075,0.9412,0.02235,0.02235,0.08813,0,0.00877,0,0.21677,0,0.00939,0.00987,0.0373,0.96775,0.96777,0.9577,0.04521,0.05461,0.04518,0.00521,0,0.19782,0.19782,0.14687,0.10162,0.04284,0.00684,0.00781,0.0373,0.0373,0.0251,0.0251,0.04079,0.96775,0.52117,0.96808,0.04838,0.05312,0.04841
0.46875,0.06696,0.46875,0.06617,0.94775,0.96725,0.08182,0.08291,0.31982,0.47626,0.47609,0.25551,0.25551,0.25551,0.40116,0.16308,0.47813,0.32792,0.96001,0.47562,0.9444,0.48923,0.94228,0.9527,0.09682,0.95732,0.96735,0.95738,0.12399,0.13802,0.94775,0.96725,0.94432,0.47438,0.47386,0.25936,0.96683,0.48923,0.48923,0.94532,0.94628,0.3594,0.32971,0.95747,0.12348,0.96737,0.95732,0.95738
0.26819,0.20207,0.37661,0.07348,0.04861,0.09603,0.24609,0.02734,0.32056,0.32063,0.3142,0,0,0,0.12402,0.07812,0.13741,0.50342,0.15625,0.02574,0.03365,0.14583,0.18634,0.2009,0,0.03125,0,0.02303,0.11697,0.05469,0.04861,0.09603,0.4765,0.46025,0.61417,0.15052,0.16473,0.14583,0.14583,0.0625,0.0625,0.02303,0.17069,0.19996,0.0875,0.03977,0,0.02574
0,0.00625,0,0,0,0,0,0,0.02816,0.01637,0.00481,0,0,0,0.09012,0.0839,0.06185,0.00933,0.01061,0,0,0.06836,0.08831,0.08959,0.03125,0.0865,0.06665,0.10026,0,0,0,0,0.02295,0.02148,0.02295,0.04688,0,0.06836,0.06783,0,0,0.09375,0.05515,0.05894,0.13702,0.06752,0.08663,0.08695
0,0,0,0.04688,0.09279,0.09465,0,0,0.14216,0.0733,0.05777,0.02847,0.02847,0.06731,0,0,0,0.16806,0,0.00313,0.00313,0.23547,0.0863,0.17295,0.33779,0.23565,0.23057,0.23537,0,0.04795,0.09279,0.09465,0.04282,0.04282,0.01892,0,0,0.23547,0.23547,0.01659,0.01659,0.47146,0.11211,0.21826,0.34824,0.21977,0.23337,0.2563
0.01311,0.01426,0.0153,0.52117,0.96808,0.96808,0.36993,0.29382,0.94386,0.94469,0.93973,0.96808,0.96808,0.96808,0.96808,0.96808,0.96808,0.48451,0.96808,0.96808,0.96808,0.94998,0.96808,0.96808,0.96808,0.93901,0.93789,0.9395,0.95867,0.48451,0.96808,0.96808,0.13835,0.08979,0.94046,0.96808,0.29381,0.94998,0.94998,0.24639,0.24639,0.24638,0.51641,0.958,0.96808,0.93985,0.93821,0.93821
0.01543,0.01042,0.019,0.00329,0.24389,0.16501,0.94345,0.47112,0.02584,0.00987,0.00568,0.38566,0.38566,0.38566,0.0957,0.07242,0.08866,0.57223,0.12902,0.00625,0.00837,0.9451,0.37968,0.37813,0.50621,0.05274,0.05428,0.05605,0.37363,0.24196,0.24389,0.16501,0.0205,0.0205,0.08214,0.03532,0.29647,0.9451,0.9451,0.47068,0.31416,0.09476,0.37014,0.37822,0.23574,0.05823,0.05247,0.05002
0,0,0,0,0.10471,0.10417,0.0245,0.00656,0,0,0.23438,0.00893,0.00893,0,0,0,0,0.07212,0,0.00391,0.00391,0.0625,0,0,0,0.05859,0.00368,0.00313,0.13546,0.00313,0.10471,0.10417,0,0,0,0,0.94934,0.0625,0.0625,0.00368,0.00368,0,0,0,0.00329,0.05879,0.00313,0.05208
