run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48
0.00804,0.04942,0.00884,0.26833,0.22955,0.2214,0.03146,0.29964,0.16487,0.14752,0.06044,0.02792,0.02773,0.02215,0.02776,0.02606,0.02741,0.32815,0.1457,0.00284,0,0.20437,0.20138,0.30622,0.23897,0.15514,0.1573,0.19918,0.02954,0.24951,0.22955,0.2214,0.08393,0.07838,0.04578,0.02652,0.0331,0.20437,0.20437,0.02568,0.02568,0.02568,0.20926,0.25427,0.23382,0.15784,0.10393,0.15236
0,0,0,0,0,0,0,0,0,0.00956,0.00956,0,0,0,0,0,0,0,0,0,0,0,0.29078,0.21564,0,0,0,0,0,0,0,0,0.01009,0.00981,0.00981,0,0.01809,0,0,0,0,0,0.4002,0.32892,0,0,0,0
0,0.00845,0.00694,0.09249,0.08275,0.08894,0.18113,0.07749,0.00781,0.00865,0.0571,0.08488,0.08488,0.07431,0.07996,0.08393,0.08334,0.06539,0.15018,0.30634,0.29603,0.10706,0.22241,0.13726,0.18181,0.01479,0.0428,0.04002,0.11778,0.14454,0.08275,0.08894,0.00367,0.00554,0.00809,0.06584,0.08051,0.10706,0.10706,0.0974,0.08969,0.09223,0.15075,0.13901,0.13162,0.03344,0.02162,0.01395
0.01099,0,0.01099,0.15539,0.10298,0.18365,0.04547,0.1896,0.11056,0.26039,0.119,0.23484,0.23654,0.19956,0,0.06977,0,0.15416,0.25061,0.15306,0.04246,0,0.38813,0.48375,0.43158,0.18502,0.16538,0.18419,0.36438,0.40793,0.10298,0.18365,0.18007,0.1693,0.17506,0,0.31243,0,0,0.04276,0.04276,0.08405,0.34126,0.4849,0.53109,0.18127,0.17572,0.13737
0.3042,0.28581,0.3042,0.07059,0.21067,0.11239,0.00227,0.15785,0.36253,0.35863,0.28898,0.28054,0.28054,0.27662,0.29436,0.41705,0.28955,0.14166,0.14362,0.17138,0.12256,0.13215,0.19291,0.25064,0.22059,0.27469,0.30409,0.2656,0.07846,0.16448,0.21067,0.11239,0.26567,0.37193,0.24368,0.37385,0.0167,0.13344,0.13021,0.16888,0.16888,0.16993,0.2997,0.2234,0.27237,0.23658,0.25327,0.15975
0.0265,0.01141,0.0265,0.01237,0.08611,0.10501,0,0,0.34844,0.23495,0.23347,0.07115,0.07115,0.12267,0.10222,0.18657,0.10199,0.05929,0.09949,0.12256,0.13687,0.11805,0.12055,0.11262,0.07316,0.14158,0.12968,0.14836,0,0,0.08611,0.10501,0.30046,0.25261,0.25617,0.104,0,0.11805,0.11805,0.10652,0.1057,0.06545,0.12222,0.12542,0.09006,0.1428,0.13728,0.12833
0,0.0037,0,0,0.05937,0.12018,0.00764,0.00774,0.01112,0,0,0,0,0,0,0,0,0,0,0.00597,0.0055,0,0.32606,0.32606,0.07078,0.02111,0.02111,0.01988,0,0,0.05937,0.12018,0.00487,0.00665,0.0055,0,0,0,0,0.00961,0.00852,0.00446,0.14465,0.32606,0.21153,0.02111,0.02064,0.02023
0.00656,0.00285,0.0035,0.18467,0.32675,0.5386,0.08531,0.16386,0.05414,0.07667,0.06508,0.17718,0.17718,0.17847,0.11777,0.0768,0.11777,0.19214,0.18917,0.18019,0.18614,0.21769,0.13867,0.18815,0.26123,0.10248,0.10233,0.10541,0.08531,0.16555,0.32675,0.5386,0.05697,0.05755,0.05419,0.15279,0.08531,0.21769,0.21769,0.12696,0.08531,0.16592,0.17033,0.18614,0.23818,0.10314,0.09426,0.10275
0,0,0,0.57122,0.51948,0.51674,0.27857,0.30255,0.28511,0.12162,0.10852,0.49341,0.49341,0.49341,0.71467,0.78694,0.71467,0.35228,0.59998,0.5969,0.5904,0.31375,0.14826,0.31259,0.56181,0.14204,0.19699,0.18939,0.47193,0.41371,0.51948,0.51674,0.14217,0.1358,0.16833,0.6316,0.30586,0.31375,0.31375,0.21135,0.21135,0.21147,0.30364,0.48787,0.52452,0.21897,0.14204,0.14931
0,0,0,0.01386,0,0,0,0,0,0,0,0.0425,0.0425,0.07139,0,0,0,0,0.04609,0,0,0.01316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01316,0.01316,0,0,0,0,0.22187,0.0167,0,0,0
0,0,0,0,0,0,0,0,0,0.0143,0.01294,0.01885,0.03118,0.04,0,0,0,0.03099,0.06606,0,0,0,0,0,0.01205,0,0,0,0,0,0,0,0.18069,0.18069,0,0.01224,0,0,0,0.02646,0.03338,0.01885,0,0,0.0139,0,0,0
0,0,0,0.00422,0.16466,0.07432,0.06469,0.02771,0.09922,0.10881,0.07783,0,0,0.0515,0,0,0,0.01136,0,0,0,0.00373,0.00422,0,0.00439,0,0,0,0.05108,0.02379,0.16466,0.07432,0.08464,0.09422,0.07793,0.11066,0.03568,0.00373,0.00373,0,0,0,0,0,0.0046,0,0,0
0,0,0.00216,0,0.63615,0.63615,0,0.00408,0.19059,0.16118,0.16249,0.01075,0.01075,0.32359,0,0.00483,0,0.14938,0,0.00498,0.00507,0.01877,0.5044,0.48247,0.6516,0.01762,0.017,0.01596,0.00256,0,0.63615,0.63615,0.0591,0.02241,0.0136,0.00447,0.00299,0.01877,0.01877,0.00931,0.00931,0.01367,0.42795,0.44257,0.95724,0.01838,0.02278,0.02004
0.08962,0.03636,0.08962,0.07245,0.34942,0.38809,0.11162,0.14611,0.11583,0.16925,0.13691,0.11267,0.11267,0.11267,0.45219,0.18342,0.48537,0.45416,0.68626,0.31916,0.41153,0.49993,0.21605,0.28709,0.04422,0.2531,0.28308,0.25605,0.17116,0.11742,0.34942,0.38809,0.22592,0.16833,0.16581,0.24156,0.23812,0.49993,0.49993,0.27162,0.31893,0.15802,0.11805,0.29758,0.08711,0.36109,0.25322,0.25584
0.25585,0.20851,0.28632,0.07413,0.02823,0.08343,0.16428,0.02294,0.15982,0.25528,0.22378,0,0,0,0.10294,0.0543,0.10582,0.15716,0.07158,0.02249,0.02463,0.04689,0.22786,0.26152,0,0.024,0,0.0217,0.19947,0.02958,0.02823,0.08343,0.28024,0.27039,0.29713,0.20708,0.1615,0.04689,0.04689,0.05024,0.05024,0.0217,0.20134,0.27118,0.03628,0.02616,0,0.02249
0,0.00598,0,0,0,0,0,0,0.01688,0.02095,0.00544,0,0,0,0.17528,0.25282,0.14903,0.01077,0.01129,0,0,0.02668,0.15842,0.1635,0.01306,0.16724,0.08798,0.24809,0,0,0,0,0.01544,0.0149,0.01544,0.07068,0,0.02668,0.02647,0,0,0.08974,0.07445,0.08455,0.11057,0.08451,0.16839,0.17101
