run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34
0.30587,0.16732,0.12697,0.12697,0.10204,0.01562,0.0714,0.0714,0.07368,0.16556,0.14875,0.14582,0.11743,0.10978,0.14719,0.13361,0.12634,0.25916,0.29044,0.15987,0.12465,0.11095,0.23324,0.1244,0.14178,0.17044,0.17456,0.15817,0.17003,0.09622,0.28586,0.10934,0.11118,0.36063
0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55612,0.20147,0.11859,0.08219,0.03644,0,0.28438,0.28438,0.19276,0.21965,0.07481,0.07481,0.07649,0.02907,0.63702,0.11129,0.03112,0.2102,0.20011,0,0.48586,0.47522,0.30056,0.25947,0.47378,0.42101,0.4308,0.42101,0.06504,0.12523,0.06504,0.18164,0.15878,0.31474
0.11896,0.13918,0,0,0,0,0.0813,0.09722,0.0813,0.13467,0.06779,0.07422,0.15137,0.17429,0.20639,0.07405,0,0.09662,0.17369,0.30548,0.03139,0.03335,0.04189,0.04229,0.27672,0.23329,0.24574,0.15375,0.11407,0.02175,0.00313,0.12567,0.04706,0.23999
0.17364,0.0432,0.31106,0.31106,0.30281,0,0.2692,0.2692,0.2692,0.03389,0.16355,0.16345,0.53029,0.17641,0.07474,0.19218,0.18351,0.17988,0,0.01218,0.02734,0.02128,0.02309,0.12072,0,0,0,0,0.31335,0.17135,0.31335,0.16383,0.14877,0.15109
0.15757,0.11533,0.02539,0.02539,0,0,0.01375,0.01663,0.00825,0.11883,0.07094,0.07215,0.11809,0.1402,0.17585,0.05835,0.04223,0.0749,0.15819,0.12958,0.01827,0.0125,0.03409,0.02227,0.07532,0.0464,0.08818,0.03403,0,0,0,0.11149,0.0678,0.16829
0.55241,0.24764,0.14236,0.14236,0.15773,0.03711,0.09492,0.11023,0,0.25217,0.19232,0.11858,0.1717,0.06766,0.30837,0.17266,0.16863,0.20458,0.00772,0.31712,0.13069,0.13001,0.46738,0.24357,0.0179,0.25281,0.2483,0.49426,0.01214,0.01076,0.04051,0.18647,0.20038,0
0.3038,0.06313,0.01562,0.01562,0,0,0.02621,0.03861,0.04594,0.06572,0.29067,0.3035,0.02814,0.00694,0.09229,0.04717,0.04707,0.06643,0.04707,0.23048,0.15168,0.14566,0,0.00937,0.03671,0.10956,0.06751,0.11041,0.01339,0.01442,0.01339,0.25253,0.2496,0.27055
0,0.09375,0.05469,0.05469,0.04861,0,0.01172,0.01172,0.01042,0.09375,0.0375,0.0375,0,0,0.09375,0.21134,0.22599,0.28548,0,0.02574,0.01442,0.01442,0.12433,0.15879,0.09375,0,0,0,0.07119,0.07142,0.07119,0.0477,0.08637,0
0.07754,0.22702,0.01524,0.01524,0.01113,0,0.01003,0,0.08454,0.22758,0,0,0.07385,0.07422,0.07715,0.0268,0.00329,0.04485,0,0.19299,0.09375,0.09375,0.0064,0.02539,0.03576,0.07877,0.02246,0.03435,0,0.02376,0.01232,0.0124,0.00866,0
0.19318,0.18453,0.00391,0.16473,0.00391,0,0.11059,0.11059,0.11059,0.17988,0.10082,0.13247,0.18187,0.17265,0.16026,0.29583,0.19152,0.20514,0.12452,0.26797,0.06799,0.10482,0.0934,0.29458,0.10884,0.00347,0,0.00347,0.13958,0.14884,0.13958,0.14372,0.09993,0.3326
0.00481,0.02087,0,0,0,0,0,0,0.06042,0.02539,0,0.01562,0.02821,0,0.01634,0.00521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00871,0.00568,0
0.10247,0.18889,0.06938,0.06938,0.03558,0,0.36413,0.36413,0.02963,0.18724,0.10786,0.09513,0.17286,0.19067,0.1769,0.0467,0.03176,0.20401,0.01875,0.16626,0.13581,0.1387,0.03288,0.06875,0.19178,0.23309,0.24319,0.12568,0.01172,0.02344,0.01172,0.16998,0.15991,0.35853
0.19368,0.23161,0.07379,0.07379,0.0817,0,0.25493,0.21585,0.29697,0.22766,0.08136,0.07912,0.18028,0.12711,0.22948,0.19976,0.19517,0.19568,0.1789,0.29022,0.19869,0.18132,0.18726,0.18855,0.19093,0.24639,0.09149,0.06221,0.10087,0.10985,0.10087,0.09522,0.15983,0.16645
