run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34
0.6544,0.39508,0.32439,0.32439,0.29385,0.0277,0.17267,0.17267,0.24189,0.37946,0.43421,0.47109,0.34216,0.27117,0.32477,0.34132,0.36534,0.72073,0.6066,0.52107,0.2752,0.23324,0.37883,0.31247,0.33887,0.3887,0.43604,0.38281,0.44232,0.2871,0.53736,0.34721,0.3163,0.79724
0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58179,0.20952,0.10709,0.0903,0.05446,0,0.19645,0.19645,0.13083,0.22153,0.03954,0.03954,0.03285,0.02503,0.62825,0.06086,0.02929,0.22657,0.23995,0,0.25226,0.20963,0.16667,0.20332,0.26598,0.35215,0.47528,0.35215,0.05652,0.33318,0.05652,0.24364,0.13315,0.23399
0.22614,0.25676,0,0,0,0,0.26003,0.22828,0.26003,0.20447,0.17448,0.1544,0.24713,0.45726,0.43946,0.06282,0,0.16651,0.43877,0.43883,0.04201,0.04315,0.09037,0.07938,0.32824,0.18435,0.24139,0.17912,0.17034,0.03669,0.00906,0.29062,0.15011,0.22317
0.22826,0.09671,0.31894,0.31894,0.27304,0,0.23859,0.23859,0.23859,0.05762,0.20533,0.20546,0.45427,0.23151,0.16822,0.29526,0.30989,0.18497,0,0.01919,0.04111,0.03734,0.04465,0.15778,0,0,0,0,0.33576,0.21194,0.33576,0.19784,0.19817,0.16026
0.37419,0.38126,0.05765,0.05765,0,0,0.0706,0.08817,0.03681,0.41651,0.296,0.31407,0.27709,0.36634,0.50037,0.2028,0.18261,0.25169,0.43991,0.3874,0.0906,0.02834,0.13956,0.05444,0.11661,0.12058,0.16183,0.08065,0,0,0,0.28247,0.2059,0.50026
0.55828,0.19509,0.16072,0.16072,0.15541,0.02795,0.23957,0.253,0,0.19271,0.197,0.0938,0.172,0.10469,0.30636,0.26203,0.20591,0.22903,0.01493,0.26448,0.13089,0.13006,0.28603,0.1905,0.02635,0.21333,0.19612,0.29804,0.0229,0.01676,0.03523,0.20798,0.23958,0
0.29749,0.09301,0.02933,0.02933,0,0,0.04364,0.04979,0.05426,0.09455,0.25828,0.27769,0.07181,0.01089,0.21593,0.09983,0.09882,0.18165,0.08458,0.22559,0.17332,0.16613,0,0.02471,0.08456,0.10002,0.10211,0.11424,0.02778,0.0285,0.02778,0.25098,0.24665,0.18987
0,0.08794,0.10259,0.10259,0.0979,0,0.0341,0.0341,0.01655,0.08794,0.05392,0.05392,0,0,0.08794,0.44935,0.48283,0.41447,0,0.07799,0.03661,0.03661,0.19763,0.20928,0.08794,0,0,0,0.27323,0.20485,0.27323,0.12445,0.15793,0
0.19241,0.23418,0.04466,0.04466,0.03041,0,0.02907,0,0.13765,0.23511,0,0,0.0958,0.07572,0.07811,0.10318,0.01263,0.14884,0,0.18951,0.10334,0.10334,0.02528,0.04296,0.04879,0.12029,0.06149,0.07032,0,0.03973,0.03156,0.04144,0.02785,0
0.36237,0.26949,0.00885,0.17564,0.00885,0,0.18545,0.18545,0.18545,0.25618,0.24115,0.28946,0.33136,0.2761,0.23109,0.35997,0.28222,0.31273,0.17999,0.26108,0.12057,0.1345,0.13444,0.29784,0.25851,0.00852,0,0.00852,0.182,0.16317,0.182,0.19504,0.1604,0.43335
0.03991,0.10943,0,0,0,0,0,0,0.30006,0.11957,0,0.06544,0.21989,0,0.18196,0.04106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779,0.04238,0
0.20583,0.44113,0.12699,0.12699,0.07026,0,0.6591,0.6591,0.07742,0.40888,0.13865,0.12756,0.45945,0.57149,0.51717,0.11143,0.10724,0.38793,0.04106,0.44893,0.22202,0.19112,0.07873,0.09764,0.26415,0.26092,0.25177,0.18427,0.03475,0.04481,0.03475,0.23019,0.15528,0.53939
0.45266,0.44806,0.24196,0.24196,0.29352,0,0.52777,0.43611,0.52091,0.40885,0.18073,0.22044,0.43993,0.31456,0.48118,0.46771,0.49626,0.45891,0.35547,0.44393,0.36989,0.31974,0.38015,0.40991,0.38131,0.32199,0.18413,0.1445,0.33033,0.30032,0.33033,0.21998,0.31169,0.31151
0.35107,0.48574,0,0,0.0318,0,0.35492,0.2623,0.0734,0.46312,0,0,0.0274,0.02475,0.06704,0.06812,0.06614,0.59961,0.6641,0.55945,0.39131,0.37724,0.10014,0.20545,0.15156,0.12054,0.14029,0.19237,0.10391,0.08931,0.02159,0,0.01935,0
0.41009,0.17637,0.37586,0.37586,0.41537,0,0.12452,0.06933,0.18108,0.18711,0.28534,0.25709,0.24886,0.19085,0.25848,0.26836,0.30655,0.19823,0.651,0.39693,0.27926,0.24805,0.1128,0.1128,0.18814,0.52602,0.26331,0.3531,0.29756,0.16353,0.29756,0.24494,0.23389,0.12686
0.325,0.31675,0.40884,0.40884,0.54473,0,0.30957,0.2976,0.30957,0.3295,0.24564,0.21487,0.30374,0.18298,0.2528,0.24385,0.22266,0.23527,0.13438,0.2077,0.23998,0.36763,0.45758,0.56532,0.38968,0.55358,0.47744,0.53856,0.16247,0.29332,0.16247,0.28197,0.33549,0.06811
0.39194,0.17262,0.38252,0.38252,0.34758,0,0.24989,0.36284,0.17823,0.16332,0.22147,0.24858,0.25529,0.28731,0.19732,0.19933,0.21861,0.1467,0.28407,0.16543,0.13328,0.20136,0.45073,0.28626,0.19807,0.26832,0.2626,0.19836,0.47077,0.38535,0.47077,0.2447,0.17847,0.05186
0.07454,0.01547,0.06465,0.06187,0.01484,0,0.20594,0.20594,0.20594,0.01625,0,0,0,0,0.09501,0.01514,0.01788,0,0.07439,0.15024,0,0,0.11851,0.01456,0.01952,0,0.01862,0,0.01484,0.01484,0,0.18896,0.15565,0.05012
0.12099,0.00915,0.10235,0.10235,0.04614,0,0.14868,0.1407,0,0.00878,0.00692,0.00878,0.21328,0.17722,0.15991,0,0,0.15012,0,0.07844,0.01175,0.01082,0.09658,0.07666,0.03038,0.03526,0.08082,0.33669,0.04637,0.01519,0.1579,0.03033,0.03036,0
0.474,0.3022,0.33402,0.33402,0.16815,0.16181,0.24815,0.24815,0.24815,0.29411,0.15503,0.43191,0.35655,0.26978,0.36184,0.29479,0.20499,0.51672,0.10787,0.23275,0.25344,0.25398,0.28022,0.33819,0.13094,0.21051,0.22212,0.21051,0.26808,0.40394,0.26808,0.33952,0.26313,0.15677
0.37672,0.2933,0.22232,0.22232,0.2158,0,0.20429,0.21655,0.07127,0.29409,0.38508,0.31685,0.1612,0.11009,0.21724,0.18616,0.21845,0.25904,0.34633,0.35417,0.17225,0.21174,0.30422,0.21173,0.22695,0.11787,0.04326,0.14825,0.21117,0.11194,0.21117,0.21652,0.13028,0.33584
0.1815,0.20071,0.12023,0.12023,0.08911,0,0.25944,0.27542,0.0756,0.19717,0.18202,0.17785,0.11623,0.13202,0.10706,0.25803,0.19918,0.28336,0.26572,0.08334,0.09185,0.07588,0.2603,0.26964,0.09117,0.05928,0.16113,0.07282,0.09097,0.1531,0.09097,0.18494,0.17187,0.05727
0.15359,0.14816,0.25587,0.37042,0,0,0.11992,0.11992,0.11992,0.15021,0,0,0.1403,0,0.09046,0.21652,0.07249,0.1023,0.04794,0.03475,0.0793,0.21405,0.28747,0.23851,0.25689,0.46029,0.37827,0.46029,0.07102,0,0.04735,0.13552,0.05937,0.08962
0,0,0,0,0,0,0.3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11481,0.12682,0,0,0,0,0,0,0
0.03329,0.20233,0,0,0,0,0.01527,0.02983,0.06711,0.14049,0.02084,0.01872,0.48509,0.29568,0.26766,0.01457,0.03244,0.09867,0,0.08094,0.03678,0.03186,0.06344,0.01139,0.09243,0.13007,0.1483,0.08999,0,0.04839,0,0.05156,0.05156,0.03958
0.03867,0,0.18607,0.40506,0.18202,0,0,0.03037,0,0,0,0,0.09454,0.10252,0.08243,0,0,0.02693,0.06059,0.12033,0.07695,0.18887,0.55641,0.45673,0.23919,0.33145,0.02167,0.42877,0.00691,0,0.00691,0,0,0.02748
0.56376,0.03945,0.12738,0.12738,0.30923,0.09211,0.47371,0.47371,0.1384,0.03978,0.19779,0.19734,0.47581,0.31536,0.26786,0.15166,0.15828,0.03536,0.1645,0.30338,0.02748,0.02748,0.39915,0.568,0.03133,0.21882,0.2414,0.21882,0.10372,0.21737,0.10372,0.37763,0.08672,0.22648
0.86233,0.62575,0.56057,0.56057,0.55453,0.02987,0.74531,0.8091,0.59414,0.62363,0.58607,0.58555,0.50881,0.31306,0.53586,0.68759,0.75835,0.78637,0.627,0.78953,0.60232,0.61755,0.60693,0.47385,0.65643,0.57888,0.53884,0.49444,0.55838,0.48313,0.55838,0.43379,0.61217,0.07102
0.56058,0.24309,0.56252,0.56252,0.48192,0,0.05825,0.32279,0.05825,0.23986,0.07906,0.07326,0.29507,0.2545,0.27007,0.32727,0.25742,0.32582,0.36383,0.61356,0.4114,0.41372,0.68387,0.58138,0.39593,0.69413,0.46341,0.57189,0.47866,0.30348,0.47866,0.10314,0.09027,0
0.61093,0.48397,0.20038,0.3419,0.1841,0,0.21031,0.21031,0.14675,0.48322,0.04412,0.05788,0.3804,0.48636,0.55459,0.29078,0,0.5616,0.60862,0.70539,0.29506,0.29456,0.38064,0.38064,0.31518,0.39163,0.24345,0.32112,0.08921,0.08921,0.08921,0.28793,0.4109,0.17582
0.63662,0.26861,0.45966,0.46756,0.70196,0,0.46159,0.46159,0.46159,0.26956,0.41412,0.53821,0.30876,0.18074,0.17327,0.70545,0.74593,0.75055,0.14204,0.30634,0.45489,0.45166,0.85523,0.82018,0.39513,0.27423,0.141,0.27423,0.5843,0.57268,0.51735,0.50779,0.52387,0.28508
0.31688,0,0,0,0,0,0.25081,0.25386,0,0.02806,0.07438,0.07503,0,0.16751,0.25006,0.04637,0,0.51545,0,0.32354,0.02328,0.02375,0.18541,0.2831,0.11561,0.23985,0.11454,0.26721,0.04538,0,0.04538,0.09707,0,0.09707
0.71594,0.5961,0.41649,0.41649,0.44463,0,0.68586,0.77877,0.54475,0.5961,0.43528,0.38873,0.57966,0.59261,0.46792,0.63515,0.68033,0,0.42401,0.58057,0.27534,0.31005,0.50387,0.27818,0.52511,0.62536,0.68859,0.59722,0.53855,0.55153,0.53855,0.51652,0.53511,0.69173
0.23211,0.30385,0,0,0,0,0.30385,0.30385,0.04362,0.30385,0.25087,0.19017,0.13509,0.1268,0.05169,0.15817,0.20375,0.09336,0.25348,0.29083,0.30385,0.30385,0.13086,0.15193,0.10823,0,0,0,0,0,0,0.22578,0.27517,0.35603
0.56678,0.50523,0.44548,0.4874,0.39189,0,0.54055,0.54345,0.54055,0.50589,0.60096,0.59144,0.40416,0.40416,0.40341,0.50182,0.49112,0.50973,0.57134,0.51276,0.44722,0.4595,0.79266,0.78212,0.47518,0.53822,0.54471,0.53822,0.56201,0.38899,0.56201,0.53797,0.46808,0.35057
0.17205,0,0.23867,0.33081,0.19963,0,0.13932,0.13932,0,0,0,0,0.14819,0.08252,0.14819,0.44008,0.45264,0.30748,0,0.34409,0,0,0.44484,0.44484,0,0.20229,0.1295,0.21063,0.09598,0.14819,0,0,0,0
0.15771,0.0928,0.31864,0.31864,0.18084,0,0.15467,0.15467,0.15467,0.0928,0.36884,0.41752,0.11737,0.11852,0.09601,0.27604,0.29645,0.25274,0.21648,0.55575,0,0,0.19967,0.06513,0.1418,0.19827,0.18008,0.19827,0.03034,0.22701,0.03034,0.23062,0.21225,0.21566
