alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.00113977204559088,0.00179004199160168,0.00146193831304197,0.00263227354529094,0.00158068386322735,0.00117576484703059,0.00195560887822436,0.00169349686406133,0.0035248950209958,0.00175524895020996
0.002,0.00215176964607079,0.00334193161367727,0.00226399474494066,0.00424535092981404,0.00281643671265747,0.0022123575284943,0.00347270545890822,0.00280329820962048,0.00570725854829034,0.00307978404319136
0.003,0.00318236352729454,0.00469886022795441,0.0034955742922017,0.00565566886622676,0.00400299940011998,0.00318896220755849,0.00499520095980804,0.00432102653625001,0.00761007798440312,0.0043125374925015
0.004,0.00419136172765447,0.00598320335932813,0.00539603410989433,0.00701079784043191,0.005124775044991,0.00419076184763047,0.00653089382123575,0.00432582567720378,0.00935572885422915,0.00550149970005999
0.005,0.0051871625674865,0.00750569886022795,0.00539603410989433,0.00826394721055789,0.00625194961007798,0.00520515896820636,0.00776604679064187,0.00672839561718452,0.0110263947210558,0.00670185962807439
0.006,0.00622375524895021,0.00868566286742652,0.0075754439955248,0.00956988602279544,0.00732093581283743,0.00621595680863827,0.00916436712657468,0.00672839561718452,0.0126904619076185,0.00784703059388122
0.007,0.00722615476904619,0.0100443911217756,0.00768222488174617,0.0107858428314337,0.00838992201559688,0.00722975404919016,0.0107564487102579,0.00869904287132603,0.0142381523695261,0.00899160167966407
0.008,0.00822915416916617,0.0115926814637073,0.00853947143461321,0.012000599880024,0.00946430713857229,0.00819196160767847,0.0116376724655069,0.0103511471446611,0.0158026394721056,0.0100479904019196
0.009,0.00922075584883024,0.0124361127774445,0.0104861229839859,0.0132375524895021,0.010499100179964,0.00915776844631074,0.0136148770245951,0.0103511471446611,0.0172693461307738,0.0111349730053989
0.01,0.0101985602879424,0.0133419316136773,0.0110134285962813,0.0144253149370126,0.0115170965806839,0.0101619676064787,0.0146598680263947,0.0103511471446611,0.0187378524295141,0.012255548890222
0.02,0.0204067186562687,0.0255572885422915,0.0198450477364552,0.0259628074385123,0.0216844631073785,0.0202693461307738,0.0261679664067187,0.0215313458890859,0.0324403119376125,0.0228434313137373
0.03,0.0308380323935213,0.0365122975404919,0.028199152351729,0.0372789442111578,0.0319124175164967,0.0304649070185963,0.0392639472105579,0.0302627829618498,0.0451397720455909,0.0332021595680864
0.04,0.0412423515296941,0.045748050389922,0.039005617994379,0.0483689262147571,0.0419394121175765,0.0406772645470906,0.0505344931013797,0.0388760411886272,0.0572651469706059,0.0432741451709658
0.05,0.0515560887822436,0.0567960407918416,0.0479110239267171,0.0592333533293341,0.0519598080383923,0.0509202159568086,0.0606982603479304,0.0463531027945998,0.0689370125974805,0.0534013197360528
0.06,0.0619646070785843,0.0697990401919616,0.055177523223343,0.0702123575284943,0.0617438512297541,0.0612615476904619,0.0724073185362927,0.05536468972054,0.0805122975404919,0.0634079184163167
0.07,0.072380323935213,0.0770353929214157,0.064174712726422,0.0810713857228554,0.0717996400719856,0.071494901019796,0.0812273545290942,0.0680812134627902,0.0918668266346731,0.0732801439712058
0.08,0.0828314337132574,0.0889208158368326,0.074330294877217,0.0918512297540492,0.0817672465506899,0.0819622075584883,0.0907792441511698,0.0768900366834337,0.102950209958008,0.0833671265746851
0.09,0.093251949610078,0.0975074985002999,0.0771671870735139,0.102482303539292,0.0917036592681464,0.0923119376124775,0.101181763647271,0.0768900366834337,0.113721055788842,0.0932933413317337
0.1,0.103541091781644,0.106621475704859,0.0852255446275117,0.112972405518896,0.101650869826035,0.102571085782843,0.112574685062987,0.0944105005204069,0.124565686862627,0.103240551889622
