alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.000959808038392322,0.00276484703059388,0.0044532285006624,0.0010377924415117,0.00114277144571086,0.000965806838632274,0.00351469706058788,0.00661084230939078,0.00129574085182963,0.00122075584883023
0.002,0.00194061187762448,0.00471325734853029,0.00696484457500528,0.00204439112177564,0.00220575884823035,0.00193821235752849,0.00587822435512898,0.0100788645047328,0.00249550089982004,0.00228854229154169
0.003,0.00291001799640072,0.00642591481703659,0.00909125818405238,0.00305518896220756,0.00323935212957409,0.00293521295740852,0.00792381523695261,0.0131442841234184,0.00363347330533893,0.00336412717456509
0.004,0.00393821235752849,0.008125374925015,0.0109524700958086,0.00407678464307139,0.00429214157168566,0.00392681463707259,0.0098374325134973,0.0155160993030355,0.0048122375524895,0.00443491301739652
0.005,0.00495440911817637,0.00971925614877025,0.0130248833592535,0.00511937612477504,0.00532993401319736,0.00491541691661668,0.0117096580683863,0.0177607136685675,0.00591901619676065,0.00547870425914817
0.006,0.00592261547690462,0.0111733653269346,0.0146784939423612,0.00611097780443911,0.00635392921415717,0.00586082783443311,0.0134811037792442,0.0199867279150587,0.00706898620275945,0.00648350329934013
0.007,0.00694421115776845,0.0126634673065387,0.0164143050515523,0.00708938212357529,0.00734853029394121,0.0068620275944811,0.0151721655668866,0.0222979427068333,0.00820995800839832,0.00756148770245951
0.008,0.00790881823635273,0.0140575884823035,0.0174889119290363,0.00810377924415117,0.00832093581283743,0.0078878224355129,0.0168374325134973,0.0239845535011424,0.00932753449310138,0.0085998800239952
0.009,0.00884703059388122,0.0154679064187163,0.0192325230881478,0.00911757648470306,0.00926394721055789,0.00891001799640072,0.0184013197360528,0.0265981702282895,0.0104655068986203,0.00964907018596281
0.01,0.00981883623275345,0.0168068386322735,0.0206599322235662,0.0101019796040792,0.0102633473305339,0.00992861427714457,0.0200629874025195,0.0282781809803583,0.0115374925014997,0.0106556688662268
0.02,0.0198086382723455,0.0298200359928014,0.033909817022829,0.0202867426514697,0.0202087582483503,0.0196742651469706,0.0346892621475705,0.0443810840389379,0.0221919616076785,0.0205740851829634
0.03,0.0298266346730654,0.0416634673065387,0.044994887967283,0.0306430713857229,0.0301061787642472,0.0296328734253149,0.048255548890222,0.0585987750321602,0.0328086382723455,0.030506298740252
0.04,0.0400965806838632,0.0531715656868626,0.0553989545533091,0.041124775044991,0.0402243551289742,0.0397168566286743,0.0610695860827834,0.071827059693182,0.0433311337732454,0.0405176964607079
0.05,0.050255548890222,0.0644331133773245,0.0648280148992954,0.0514709058188362,0.0503197360527894,0.0498002399520096,0.0732417516496701,0.0822089261371273,0.0538008398320336,0.050500299940012
0.06,0.0603185362927415,0.0750353929214157,0.0753388821688459,0.0617276544691062,0.0600935812837433,0.059881223755249,0.0854151169766047,0.0945732052685137,0.0642969406118776,0.0604079184163167
0.07,0.0704229154169166,0.0857120575884823,0.0840011376072807,0.0720857828434313,0.0700647870425915,0.0700395920815837,0.0971751649670066,0.105324674077914,0.0748104379124175,0.0704193161367727
0.08,0.0805794841031794,0.0959928014397121,0.0926663930649156,0.0824757048590282,0.0800563887222556,0.0803221355728854,0.108891421715657,0.115998742391951,0.0851991601679664,0.0805524895020996
0.09,0.0906904619076185,0.106544091181764,0.103359061497994,0.092755848830234,0.089995200959808,0.090374325134973,0.120257948410318,0.126917612272719,0.0955248950209958,0.0904283143371326
0.1,0.100863227354529,0.116754049190162,0.111693114835935,0.103076184763047,0.100033593281344,0.100644871025795,0.131825434913017,0.135272665745061,0.105920815836833,0.100679064187163
