alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.000885422915416917,0.00133173365326935,0.000929936206376243,0.00226334733053389,0.00126634673065387,0.000939412117576485,0.00159568086382723,0.00118731854994747,0.0031877624475105,0.00145950809838032
0.002,0.00177324535092981,0.00255848830233953,0.00145610011153235,0.00372225554889022,0.0023497300539892,0.00187282543491302,0.00288482303539292,0.00202906080642868,0.00522315536892621,0.00270665866826635
0.003,0.00272285542891422,0.00365266946610678,0.00228524323231426,0.00505638872225555,0.00342771445710858,0.00280803839232154,0.00417576484703059,0.00311618622962465,0.00699640071985603,0.00382363527294541
0.004,0.00366466706658668,0.00473005398920216,0.00365554922932287,0.00634433113377325,0.00452069586082784,0.00374145170965807,0.00548050389922016,0.00314018458333758,0.00871325734853029,0.00496700659868026
0.005,0.00461607678464307,0.00601859628074385,0.00365554922932287,0.00763407318536293,0.00560107978404319,0.00470725854829034,0.00651049790041992,0.00489026452785339,0.0103353329334133,0.00610497900419916
0.006,0.0055998800239952,0.00708578284343131,0.00531023571782976,0.00885302939412117,0.00666946610677864,0.00565446910617876,0.00773005398920216,0.00489026452785339,0.0119466106778644,0.00715416916616677
0.007,0.00657288542291542,0.00827234553089382,0.00538703044971115,0.0100893821235753,0.00770365926814637,0.00658968206358728,0.0091505698860228,0.00661694607749908,0.0134499100179964,0.00829574085182964
0.008,0.00756088782243551,0.00965386922615477,0.00628876859047469,0.0113035392921416,0.00871085782843431,0.00754409118176365,0.00991121775644871,0.00769987178879529,0.0149610077984403,0.00934253149370126
0.009,0.00852609478104379,0.0104265146970606,0.00770227162416658,0.012497300539892,0.00973545290941812,0.00852369526094781,0.011630473905219,0.00769987178879529,0.0163953209358128,0.0104055188962208
0.01,0.00950149970005999,0.0112603479304139,0.00798005256839381,0.0136376724655069,0.0107612477504499,0.00948470305938812,0.0125596880623875,0.00769987178879529,0.0178614277144571,0.0114757048590282
0.02,0.0196058788242352,0.0224379124175165,0.0155017365808706,0.0250827834433113,0.0208878224355129,0.0193431313737253,0.0231487702459508,0.0166134603166223,0.0313377324535093,0.0218902219556089
0.03,0.0298524295140972,0.0326724655068986,0.0224438603511799,0.0362135572885423,0.0308614277144571,0.0293509298140372,0.035253149370126,0.0243097323523606,0.0441163767246551,0.032003599280144
0.04,0.0401673665266947,0.0413665266946611,0.0318752133603635,0.0471907618476305,0.0408374325134973,0.0395692861427714,0.0459364127174565,0.0319520080922449,0.0561325734853029,0.0422129574085183
0.05,0.050382123575285,0.0518152369526095,0.040073650947545,0.0580383923215357,0.0508116376724655,0.0498488302339532,0.0555518896220756,0.0387111444154931,0.0678608278344331,0.0522717456508698
0.06,0.060746850629874,0.0641121775644871,0.0471063685031207,0.0688536292741452,0.0606082783443311,0.0601421715656869,0.0667144571085783,0.0460570404870226,0.0793263347330534,0.0622333533293341
0.07,0.0710221955608878,0.0711673665266947,0.054796040991588,0.0795698860227954,0.0705248950209958,0.0704751049790042,0.0750779844031194,0.0588391636333748,0.0905218956208758,0.0723125374925015
0.08,0.0813989202159568,0.082753449310138,0.0661514620097061,0.0902825434913017,0.0804517096580684,0.0808482303539292,0.0843959208158368,0.0653235188066099,0.101712657468506,0.0822225554889022
0.09,0.0917054589082183,0.091121175764847,0.0678307468107688,0.100883623275345,0.0903605278944211,0.0910737852429514,0.0945794841031794,0.0653235188066099,0.112487102579484,0.0920899820035993
0.1,0.101914817036593,0.100102579484103,0.0739125296004694,0.111383923215357,0.100206358728254,0.101451709658068,0.105499700059988,0.0820317726203982,0.123358728254349,0.102160767846431
