alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.000970605878824235,0.00130113977204559,0.00478824235152969,0.0013005398920216,0.000979604079184163,0.001,0.0013119376124775,0.00556448710257948,0.00142891421715657,0.00101739652069586
0.002,0.00198500299940012,0.00249250149970006,0.00764787042591482,0.00249130173965207,0.00196700659868026,0.00196940611877624,0.00253209358128374,0.00896040791841632,0.00265626874625075,0.00198080383923215
0.003,0.00297900419916017,0.0036748650269946,0.0101613677264547,0.00362387522495501,0.0029376124775045,0.0029628074385123,0.00373065386922615,0.0120197960407918,0.00383683263347331,0.00294121175764847
0.004,0.00398860227954409,0.00483863227354529,0.012371325734853,0.0047372525494901,0.00391181763647271,0.00395800839832034,0.00489562087582484,0.0142849430113977,0.00499520095980804,0.0039130173965207
0.005,0.00503059388122376,0.00599460107978404,0.0145944811037792,0.00584463107378524,0.00494181163767247,0.00494601079784043,0.0060755848830234,0.016873425314937,0.00615956808638272,0.00488662267546491
0.006,0.00604139172165567,0.00715716856628674,0.0165170965806839,0.00691481703659268,0.00591121775644871,0.00594481103779244,0.00723155368926215,0.0190329934013197,0.00730713857228554,0.00585902819436113
0.007,0.00702099580083983,0.00832393521295741,0.0183959208158368,0.00797900419916017,0.00689802039592082,0.00697360527894421,0.00841511697660468,0.0210671865626875,0.00848050389922016,0.00686742651469706
0.008,0.00797060587882424,0.00949730053989202,0.0199190161967606,0.00906178764247151,0.00782363527294541,0.00798080383923215,0.00953869226154769,0.0231493701259748,0.00961907618476305,0.00784703059388122
0.009,0.00900059988002399,0.0106556688662268,0.021505698860228,0.0101967606478704,0.00882003599280144,0.00903359328134373,0.0106604679064187,0.0255710857828434,0.0107396520695861,0.00885722855428914
0.01,0.0100551889622076,0.0117948410317936,0.0232315536892622,0.0112237552489502,0.00982663467306539,0.0100419916016797,0.0117798440311938,0.0273647270545891,0.0118170365926815,0.00984463107378524
0.02,0.0200689862027595,0.0231115776844631,0.0382135572885423,0.0216970605878824,0.0196400719856029,0.0199490101979604,0.023125374925015,0.0439058188362328,0.0225782843431314,0.0195146970605879
0.03,0.0300797840431914,0.0340671865626875,0.0504565086982604,0.0320149970005999,0.0294307138572286,0.0300287942411518,0.0342915416916617,0.0582789442111578,0.0332963407318536,0.0294115176964607
0.04,0.0400869826034793,0.0450083983203359,0.0613113377324535,0.0422849430113977,0.0392375524895021,0.0400551889622076,0.0453455308938212,0.0723641271745651,0.0436832633473305,0.0391625674865027
0.05,0.0501361727654469,0.0557396520695861,0.071877024595081,0.0524073185362927,0.0490635872825435,0.0499940011997601,0.0562735452909418,0.0828266346730654,0.0539382123575285,0.0489148170365927
0.06,0.0602039592081584,0.0662777444511098,0.0837360527894421,0.0625686862627475,0.0589268146370726,0.0598872225554889,0.0670983803239352,0.0959238152369526,0.0641157768446311,0.0586136772645471
0.07,0.0702303539292142,0.0768458308338332,0.0920677864427115,0.0728200359928014,0.0687690461907619,0.0699808038392322,0.0777702459508098,0.106432513497301,0.0744187162567487,0.0684439112177565
0.08,0.0802957408518296,0.0872219556088782,0.102914217156569,0.082877024595081,0.0786610677864427,0.0799676064787043,0.0884889022195561,0.117010197960408,0.0847252549490102,0.0782429514097181
0.09,0.090245350929814,0.0975596880623875,0.111880623875225,0.0927882423515297,0.0884601079784043,0.090004799040192,0.0991625674865027,0.128685062987403,0.0948854229154169,0.0880809838032394
0.1,0.100178164367127,0.107853029394121,0.121386922615477,0.102811037792442,0.098376724655069,0.100184763047391,0.109712657468506,0.137472105578884,0.105172765446911,0.0979514097180564
