alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.000794258780788776,0.000281343731253749,0.00048471381788318,0.00229394121175765,0.00107198560287942,0.000679079259707624,0.000169769814926906,0.000454719150934964,0.0030245950809838,0.00115956808638272
0.002,0.00171749462945488,0.000827234553089382,0.000892641288378926,0.00390281943611278,0.00201379724055189,0.00151833004091872,0.000518907738204147,0.000911237981886821,0.00513377324535093,0.00211037792441512
0.003,0.00264792919818856,0.00151049790041992,0.00126577494521474,0.00533953209358128,0.00287822435512897,0.00241577047600937,0.00101441963618869,0.00128077227868885,0.00703239352129574,0.00296040791841632
0.004,0.00364015278083557,0.00219856028794241,0.00232998572853747,0.00672645470905819,0.0039124175164967,0.00334500525806512,0.00160771414842441,0.00169169921587942,0.00877384523095381,0.00397660467906419
0.005,0.00458378500302646,0.00299340131973605,0.00232998572853747,0.00806718656268746,0.0048002399520096,0.00428503812022222,0.00224240130104867,0.00241457068933144,0.0103497300539892,0.00484283143371326
0.006,0.00555681199882661,0.00382843431313737,0.00297247149456827,0.00940431913617276,0.00574145170965807,0.00525266607597169,0.00296047362778898,0.00241457068933144,0.0119196160767846,0.00573185362927415
0.007,0.00655743408821911,0.0046880623875225,0.00402588419778963,0.0106640671865627,0.00662027594481104,0.00623169200516148,0.00367674627451239,0.00287108952028329,0.013505698860228,0.00658608278344331
0.008,0.00756165553764541,0.00560347930413917,0.00417045849248004,0.0119484103179364,0.0077750449910018,0.00721911644109677,0.00436362414762655,0.00452379566913003,0.0150245950809838,0.00783503299340132
0.009,0.00857727496051202,0.00645890821835633,0.00431143342713666,0.0132003599280144,0.00869046190761848,0.00818194525013453,0.0052424678892093,0.00452379566913003,0.01650449910018,0.00868266346730654
0.01,0.0095664990764642,0.0073503299340132,0.0048741333790852,0.0144019196160768,0.00963167366526695,0.00911177992552924,0.0059521417092041,0.00452379566913003,0.018003599280144,0.00957288542291542
0.02,0.0196297098375909,0.0168908218356329,0.011991267952558,0.0261631673665267,0.0193401319736053,0.0190304163919655,0.0145432142165123,0.00959289438337863,0.0315758848230354,0.0191895620875825
0.03,0.0299466754810995,0.0271493701259748,0.0170225733864519,0.0374901019796041,0.0289172165566887,0.0292465999545281,0.0240491240657411,0.0147045855246937,0.0438398320335933,0.0285170965806839
0.04,0.0400380812291575,0.0371337732453509,0.0251715245029434,0.0483581283743251,0.0391595680863827,0.0393506034627043,0.0335604329550206,0.023832562570375,0.055755848830234,0.0387654469106179
0.05,0.0502002743912133,0.0471331733653269,0.0311956534128232,0.0590569886022796,0.048872225554889,0.0495301935315901,0.0439055935854605,0.028928056591538,0.0671787642471506,0.0482315536892622
0.06,0.060363667339947,0.0570977804439112,0.0393506034627043,0.0696712657468506,0.0585800839832034,0.0597781714411178,0.0542321575223925,0.0338099885840298,0.0782921415716857,0.0577144571085783
0.07,0.0703404934602628,0.0673959208158368,0.0414130367620637,0.0800959808038392,0.0687594481103779,0.0698947727094123,0.0637632628918578,0.0408677337169451,0.0890953809238152,0.0682663467306539
0.08,0.0804810904621158,0.0773989202159568,0.0498829308149011,0.0904673065386923,0.07874625074985,0.0799825790974365,0.0742877916306481,0.0499111258018324,0.0999820035992801,0.0782201559688062
0.09,0.090737466878389,0.0873863227354529,0.0616234433517721,0.100656868626275,0.0884445110977804,0.0901291750326792,0.0840378580688354,0.0499111258018324,0.110740851829634,0.0875266946610678
0.1,0.100805476786227,0.0978584283143371,0.063609090303744,0.110741451709658,0.0985374925014997,0.100485733636559,0.0942756377916007,0.0618693996207474,0.121395920815837,0.0978002399520096
