alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.0687005988023952,0.0943413173652695,0.0609461077844311,0.107622754491018,0.0920838323353293,0.045622754491018,0.0671736526946108,0.0456826347305389,0.0900718562874251,0.0655988023952096
0.002,0.102826347305389,0.133520958083832,0.0794191616766467,0.143053892215569,0.127221556886228,0.0687065868263473,0.0943652694610778,0.0609640718562874,0.119413173652695,0.0920958083832335
0.003,0.128586826347305,0.159077844311377,0.101526946107784,0.169658682634731,0.153359281437126,0.0871916167664671,0.11602994011976,0.0794550898203593,0.141556886227545,0.111808383233533
0.004,0.150610778443114,0.181125748502994,0.129263473053892,0.191263473053892,0.174622754491018,0.102844311377246,0.133562874251497,0.0794610778443114,0.159562874251497,0.127245508982036
0.005,0.169538922155689,0.204065868263473,0.129263473053892,0.210161676646707,0.192946107784431,0.116389221556886,0.14602994011976,0.101580838323353,0.17425748502994,0.141149700598802
0.006,0.18637125748503,0.220245508982036,0.159071856287425,0.22659880239521,0.209161676646707,0.12862874251497,0.15914371257485,0.101580838323353,0.187586826347305,0.153395209580838
0.007,0.201904191616766,0.236910179640719,0.159892215568862,0.241640718562874,0.223622754491018,0.140251497005988,0.17351497005988,0.114047904191617,0.200011976047904,0.164209580838323
0.008,0.216502994011976,0.254281437125749,0.165592814371257,0.255862275449102,0.237335329341317,0.150664670658683,0.181215568862275,0.129353293413174,0.211023952095808,0.174574850299401
0.009,0.229586826347305,0.262844311377246,0.189005988023952,0.268497005988024,0.249994011976048,0.160658682634731,0.196131736526946,0.129353293413174,0.221347305389222,0.184323353293413
0.01,0.241790419161677,0.272089820359281,0.194718562874252,0.280538922155689,0.261359281437126,0.169610778443114,0.204191616766467,0.129353293413174,0.230838323353293,0.19311377245509
0.02,0.336077844311377,0.368101796407186,0.264676646706587,0.370796407185629,0.348604790419162,0.241964071856287,0.272377245508982,0.194964071856287,0.302622754491018,0.26151497005988
0.03,0.400928143712575,0.427622754491018,0.315844311377246,0.431137724550898,0.408443113772455,0.294844311377245,0.329347305389222,0.232892215568862,0.35285628742515,0.310479041916168
0.04,0.450473053892216,0.468041916167665,0.36934131736527,0.479071856287425,0.454640718562874,0.336562874251497,0.368706586826347,0.265323353293413,0.390706586826347,0.349125748502994
0.05,0.491131736526946,0.508664670658683,0.405736526946108,0.517940119760479,0.493,0.372149700598802,0.399107784431138,0.286610778443114,0.422383233532934,0.381934131736527
0.06,0.526023952095808,0.548850299401198,0.428808383233533,0.551125748502994,0.525353293413174,0.401844311377246,0.428694610778443,0.316808383233533,0.44897005988024,0.409413173652695
0.07,0.55588622754491,0.568502994011976,0.461347305389222,0.57897005988024,0.553922155688623,0.428389221556886,0.448952095808383,0.347095808383234,0.472580838323353,0.434017964071856
0.08,0.581922155688623,0.596922155688623,0.487329341317365,0.604179640718563,0.57911377245509,0.45185628742515,0.469574850299401,0.370832335329341,0.49374251497006,0.455988023952096
0.09,0.605407185628743,0.61522754491018,0.494724550898204,0.625550898203593,0.601838323353293,0.473275449101796,0.490215568862276,0.370832335329341,0.51302994011976,0.47585628742515
0.1,0.626197604790419,0.633431137724551,0.518443113772455,0.644922155688623,0.621592814371257,0.493017964071856,0.510808383233533,0.407808383233533,0.530916167664671,0.494670658682635
