alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.0328802395209581,0.0438562874251497,0.0275808383233533,0.0562095808383234,0.0442814371257485,0.0216586826347305,0.030748502994012,0.0203892215568862,0.0450359281437126,0.0305988023952096
0.002,0.0512634730538922,0.0659580838323353,0.0358682634730539,0.0770359281437126,0.0642994011976048,0.032874251497006,0.0438922155688623,0.0276167664670659,0.0617365269461078,0.0442335329341317
0.003,0.0664251497005988,0.0809461077844311,0.0476167664670659,0.0938443113772455,0.0802874251497006,0.0429041916167665,0.0556706586826347,0.0359221556886228,0.0749760479041916,0.0550119760479042
0.004,0.0797245508982036,0.0936167664670659,0.0631976047904192,0.108365269461078,0.094,0.0512874251497006,0.0660239520958084,0.0359221556886228,0.086125748502994,0.0643233532934132
0.005,0.092059880239521,0.108341317365269,0.0631976047904192,0.121005988023952,0.106071856287425,0.0591916167664671,0.0733532934131737,0.0477185628742515,0.0960119760479042,0.0728922155688623
0.006,0.102994011976048,0.118455089820359,0.0792215568862275,0.13259880239521,0.116958083832335,0.0664730538922156,0.0810299401197605,0.0477185628742515,0.104664670658683,0.0803892215568862
0.007,0.113580838323353,0.129580838323353,0.0795149700598802,0.14340119760479,0.127413173652695,0.0733892215568862,0.0894850299401198,0.0579101796407186,0.112946107784431,0.0875389221556886
0.008,0.123335329341317,0.141323353293413,0.0871676646706587,0.153640718562874,0.13714371257485,0.0798083832335329,0.093748502994012,0.0634071856287425,0.120538922155689,0.0941317365269461
0.009,0.132964071856287,0.147437125748503,0.0984970059880239,0.162520958083832,0.146065868263473,0.0862395209580838,0.103479041916168,0.0634071856287425,0.128041916167665,0.100281437125749
0.01,0.141748502994012,0.153994011976048,0.100161676646707,0.171353293413174,0.154383233532934,0.0921736526946108,0.108526946107784,0.0634071856287425,0.134562874251497,0.106239520958084
0.02,0.213508982035928,0.226005988023952,0.148664670658683,0.243784431137725,0.222431137724551,0.142089820359281,0.15448502994012,0.100718562874252,0.187251497005988,0.154802395209581
0.03,0.26888622754491,0.276976047904192,0.18402994011976,0.298239520958084,0.275005988023952,0.180940119760479,0.195580838323353,0.126760479041916,0.227538922155689,0.19185628742515
0.04,0.314682634730539,0.313167664670659,0.225329341317365,0.342658682634731,0.318131736526946,0.21437125748503,0.227167664670659,0.149808383233533,0.260538922155689,0.223305389221557
0.05,0.353802395209581,0.351431137724551,0.255964071856287,0.380646706586826,0.355754491017964,0.243592814371258,0.25197005988024,0.167700598802395,0.289317365269461,0.25162874251497
0.06,0.389011976047904,0.391359281437126,0.279455089820359,0.414119760479042,0.388658682634731,0.270365269461078,0.278850299401198,0.185784431137725,0.314119760479042,0.276437125748503
0.07,0.419023952095808,0.411191616766467,0.303347305389222,0.443461077844311,0.417604790419162,0.295173652694611,0.296958083832335,0.21602994011976,0.336269461077844,0.299766467065868
0.08,0.446736526946108,0.441508982035928,0.33802994011976,0.469520958083832,0.444568862275449,0.316820359281437,0.315760479041916,0.228179640718563,0.357479041916168,0.320293413173653
0.09,0.471838323353293,0.461365269461078,0.341059880239521,0.493275449101796,0.46859880239521,0.337155688622754,0.335269461077844,0.228179640718563,0.376550898203593,0.339640718562874
0.1,0.494502994011976,0.481694610778443,0.355634730538922,0.515646706586826,0.490796407185629,0.356688622754491,0.354928143712575,0.259868263473054,0.394718562874252,0.358467065868263
