alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.0031437125748503,0.00182035928143713,0.00309580838323353,0.0081437125748503,0.0042934131736527,0.00167065868263473,0.000784431137724551,0.0018562874251497,0.00612574850299401,0.00253892215568862
0.002,0.00633532934131737,0.00453293413173653,0.00480239520958084,0.013311377245509,0.0077185628742515,0.00329341317365269,0.00189820359281437,0.00326347305389222,0.00974251497005988,0.00455089820359282
0.003,0.00946107784431138,0.00725149700598802,0.00666467065868264,0.0176706586826347,0.0106646706586826,0.00492814371257485,0.00329940119760479,0.00446706586826347,0.012940119760479,0.00623353293413174
0.004,0.0124431137724551,0.0100898203592814,0.0108323353293413,0.021814371257485,0.0137784431137725,0.00674251497005988,0.00473053892215569,0.0051377245508982,0.0158622754491018,0.00816167664670659
0.005,0.0154491017964072,0.0127664670658683,0.0108323353293413,0.0254311377245509,0.0167664670658683,0.008437125748503,0.00612574850299401,0.0071437125748503,0.0186526946107784,0.00977844311377245
0.006,0.0185508982035928,0.0155928143712575,0.0132095808383234,0.0293952095808383,0.0197245508982036,0.0101077844311377,0.00767664670658683,0.0071437125748503,0.0215928143712575,0.0114011976047904
0.007,0.0216586826347305,0.0183952095808383,0.0173952095808383,0.0327724550898204,0.0225269461077844,0.0115449101796407,0.00937125748502994,0.00804191616766467,0.0241077844311377,0.012940119760479
0.008,0.0243353293413174,0.0209341317365269,0.0175209580838323,0.035814371257485,0.0254191616766467,0.0133233532934132,0.0107245508982036,0.011748502994012,0.0264610778443114,0.0148203592814371
0.009,0.0271377245508982,0.0240179640718563,0.0180898203592814,0.039,0.0281437125748503,0.0150538922155689,0.0122275449101796,0.011748502994012,0.0287125748502994,0.0163952095808383
0.01,0.0296347305389222,0.0267664670658683,0.0202095808383234,0.042251497005988,0.030688622754491,0.0166287425149701,0.0135928143712575,0.011748502994012,0.0308443113772455,0.018
0.02,0.0545269461077844,0.0514191616766467,0.0411976047904192,0.0693173652694611,0.0546946107784431,0.0324311377245509,0.0290359281437126,0.0222455089820359,0.0496407185628743,0.0335568862275449
0.03,0.0769461077844311,0.0755269461077844,0.0562155688622755,0.0928083832335329,0.0766047904191617,0.0468502994011976,0.0433892215568862,0.0312215568862275,0.0662455089820359,0.0470958083832335
0.04,0.0979161676646707,0.0974850299401198,0.0750119760479042,0.115269461077844,0.0973173652694611,0.0604431137724551,0.0566287425149701,0.045622754491018,0.0814730538922156,0.0606826347305389
0.05,0.118640718562874,0.118149700598802,0.0898982035928144,0.135604790419162,0.117982035928144,0.0737904191616766,0.0712035928143713,0.0551616766467066,0.0956047904191617,0.0735928143712575
0.06,0.13725748502994,0.138239520958084,0.107700598802395,0.155263473053892,0.136467065868263,0.0864431137724551,0.0843053892215569,0.0630778443113773,0.109425149700599,0.0860778443113773
0.07,0.156,0.157532934131737,0.110455089820359,0.174005988023952,0.154904191616766,0.099185628742515,0.0975269461077844,0.072251497005988,0.122269461077844,0.0985688622754491
0.08,0.174419161676647,0.175760479041916,0.128137724550898,0.191688622754491,0.173407185628743,0.111449101796407,0.110311377245509,0.0852215568862275,0.135640718562874,0.110694610778443
0.09,0.191880239520958,0.193622754491018,0.150335329341317,0.208790419161677,0.190700598802395,0.123604790419162,0.122766467065868,0.0852215568862275,0.147832335329341,0.122724550898204
0.1,0.208724550898204,0.211329341317365,0.154532934131737,0.224766467065868,0.207101796407186,0.136215568862275,0.135011976047904,0.102988023952096,0.159718562874251,0.135209580838323
