alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.0485449101796407,0.0301556886227545,0.0283293413173653,0.0929281437125749,0.0475988023952096,0.0297844311377246,0.0148323353293413,0.0192814371257485,0.070814371257485,0.0295688622754491
0.002,0.07737125748503,0.056940119760479,0.0411676646706587,0.126137724550898,0.0750778443113773,0.0485449101796407,0.0301497005988024,0.0283353293413174,0.0974730538922156,0.047688622754491
0.003,0.100832335329341,0.0795508982035928,0.0583293413173653,0.150976047904192,0.0969760479041916,0.0639940119760479,0.0440958083832335,0.0410239520958084,0.115916167664671,0.0625149700598802
0.004,0.119652694610778,0.0988802395209581,0.0801976047904192,0.171137724550898,0.116041916167665,0.0773832335329341,0.0569461077844311,0.0411736526946108,0.131796407185629,0.0751077844311377
0.005,0.13685628742515,0.116419161676647,0.0801976047904192,0.188323353293413,0.131874251497006,0.0901137724550898,0.0682574850299401,0.0583473053892216,0.145125748502994,0.0862335329341317
0.006,0.152383233532934,0.132023952095808,0.101119760479042,0.20359880239521,0.146694610778443,0.100868263473054,0.0795568862275449,0.0583473053892216,0.156754491017964,0.0969101796407186
0.007,0.166287425149701,0.146347305389222,0.108191616766467,0.217532934131737,0.160245508982036,0.110203592814371,0.0895808383233533,0.0600538922155689,0.167868263473054,0.107083832335329
0.008,0.179137724550898,0.159844311377246,0.108694610778443,0.230455089820359,0.172335329341317,0.119706586826347,0.0989161676646707,0.0802335329341318,0.177604790419162,0.116101796407186
0.009,0.191083832335329,0.171850299401198,0.120784431137725,0.242676646706587,0.184005988023952,0.128934131736527,0.108017964071856,0.0802335329341318,0.186395209580838,0.124419161676647
0.01,0.202892215568862,0.183664670658683,0.136544910179641,0.254119760479042,0.194946107784431,0.136910179640719,0.116473053892216,0.0802335329341318,0.195023952095808,0.131922155688623
0.02,0.293706586826347,0.277850299401198,0.189203592814371,0.340976047904192,0.283203592814371,0.203005988023952,0.183778443113772,0.136712574850299,0.261538922155689,0.195167664670659
0.03,0.360095808383234,0.344125748502994,0.241838323353293,0.401544910179641,0.347137724550898,0.253071856287425,0.235712574850299,0.163784431137725,0.309293413173653,0.242688622754491
0.04,0.411538922155689,0.397862275449102,0.301544910179641,0.44885628742515,0.397251497005988,0.293976047904192,0.278101796407186,0.189502994011976,0.347736526946108,0.283449101796407
0.05,0.453844311377246,0.44088622754491,0.332832335329341,0.488281437125749,0.439784431137725,0.330035928143713,0.313820359281437,0.223329341317365,0.37959880239521,0.317419161676647
0.06,0.491185628742515,0.477808383233533,0.365814371257485,0.522604790419162,0.476191616766467,0.360580838323353,0.344616766467066,0.242431137724551,0.407191616766467,0.347550898203593
0.07,0.523790419161677,0.512838323353293,0.386928143712575,0.552047904191617,0.508994011976048,0.387736526946108,0.373407185628743,0.269317365269461,0.43188622754491,0.373880239520958
0.08,0.552149700598802,0.539670658682635,0.404107784431138,0.578443113772455,0.538167664670659,0.412245508982036,0.398592814371257,0.302676646706587,0.45397005988024,0.397892215568862
0.09,0.578107784431138,0.566431137724551,0.432676646706587,0.601730538922156,0.563862275449102,0.435203592814371,0.420844311377245,0.302676646706587,0.474287425149701,0.419808383233533
0.1,0.601838323353293,0.590179640718563,0.463005988023952,0.623,0.588185628742515,0.454802395209581,0.441910179640719,0.334203592814371,0.493191616766467,0.440604790419162
