alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.729658682634731,0.743467065868264,0.617604790419162,0.760191616766467,0.748155688622755,0.666077844311377,0.684335329341317,0.557329341317365,0.719952095808383,0.691670658682635
0.002,0.789377245508982,0.800329341317365,0.684293413173653,0.812497005988024,0.801431137724551,0.72962874251497,0.743467065868264,0.617604790419162,0.772892215568862,0.747934131736527
0.003,0.821520958083832,0.83197005988024,0.718155688622755,0.84134131736527,0.830520958083832,0.764910179640719,0.778059880239521,0.651029940119761,0.802365269461078,0.779287425149701
0.004,0.843281437125749,0.85214371257485,0.74851497005988,0.859994011976048,0.850383233532934,0.78937125748503,0.800329341317365,0.684293413173653,0.822437125748503,0.801461077844311
0.005,0.85874251497006,0.866874251497006,0.762712574850299,0.874502994011976,0.864568862275449,0.807383233532934,0.818802395209581,0.699706586826347,0.837431137724551,0.817568862275449
0.006,0.871239520958084,0.877215568862276,0.775868263473054,0.885425149700599,0.87625748502994,0.821520958083832,0.83197005988024,0.718155688622755,0.848946107784431,0.830497005988024
0.007,0.881131736526946,0.887455089820359,0.791299401197605,0.894281437125749,0.885,0.833365269461078,0.842167664670659,0.731526946107785,0.85840119760479,0.84137125748503
0.008,0.889467065868264,0.895479041916168,0.793538922155689,0.901646706586826,0.892928143712575,0.843281437125749,0.85214371257485,0.74851497005988,0.866724550898204,0.850455089820359
0.009,0.89662874251497,0.901275449101796,0.802389221556886,0.907964071856287,0.899497005988024,0.851652694610779,0.859293413173653,0.74851497005988,0.873706586826347,0.857832335329341
0.01,0.90234131736527,0.908407185628743,0.815976047904192,0.913041916167665,0.905263473053892,0.85874251497006,0.866874251497006,0.762712574850299,0.879718562874252,0.864568862275449
0.02,0.937916167664671,0.940383233532934,0.869473053892216,0.944455089820359,0.93888622754491,0.902335329341317,0.908407185628743,0.815976047904192,0.915784431137725,0.905263473053892
0.03,0.954107784431138,0.955359281437126,0.895413173652695,0.958341317365269,0.954497005988024,0.924173652694611,0.928095808383233,0.848,0.933904191616767,0.925646706586826
0.04,0.963820359281437,0.964473053892216,0.911317365269461,0.967197604790419,0.96397005988024,0.937916167664671,0.940383233532934,0.869479041916168,0.945149700598802,0.938874251497006
0.05,0.970724550898204,0.970922155688623,0.919167664670659,0.973413173652695,0.970670658682635,0.947269461077844,0.948413173652695,0.879616766467066,0.952964071856287,0.947868263473054
0.06,0.975766467065868,0.975041916167665,0.931467065868264,0.97759880239521,0.975676646706587,0.954107784431138,0.955359281437126,0.895419161676647,0.958892215568862,0.954431137724551
0.07,0.979497005988024,0.979041916167665,0.936664670658683,0.981131736526946,0.979347305389222,0.959610778443114,0.960688622754491,0.898964071856288,0.963562874251497,0.959778443113773
0.08,0.98222754491018,0.981640718562874,0.944964071856287,0.983526946107784,0.982101796407186,0.963820359281437,0.964473053892216,0.911329341317365,0.96737125748503,0.963976047904192
0.09,0.984425149700599,0.984071856287425,0.947796407185629,0.985550898203593,0.984275449101796,0.967473053892216,0.968125748502994,0.916413173652695,0.970712574850299,0.967479041916168
0.1,0.986353293413174,0.986131736526946,0.95577245508982,0.987305389221557,0.98622754491018,0.970724550898204,0.970922155688623,0.919185628742515,0.973455089820359,0.970688622754491
