delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0349341317365269,0.0501676646706587,0.0481976047904192,0.038940119760479,0.0378922155688623,0.0222814371257485,0.0339161676646707,0.0338982035928144,0.0282395209580838,0.024940119760479
0.02,0.0958083832335329,0.119059880239521,0.102868263473054,0.105634730538922,0.101736526946108,0.0625928143712575,0.0811437125748503,0.072311377245509,0.0777425149700599,0.0685269461077844
0.03,0.200850299401198,0.231532934131737,0.185892215568862,0.216467065868263,0.210413173652695,0.14348502994012,0.168952095808383,0.135407185628743,0.170095808383234,0.154616766467066
0.04,0.34225748502994,0.371964071856287,0.295137724550898,0.36225748502994,0.354491017964072,0.261832335329341,0.291724550898204,0.228556886227545,0.299904191616766,0.277808383233533
0.05,0.489958083832335,0.514802395209581,0.409269461077844,0.510982035928144,0.502,0.400197604790419,0.427646706586826,0.330071856287425,0.444359281437126,0.418221556886228
0.06,0.629443113772455,0.651946107784431,0.531778443113772,0.651377245508982,0.63959880239521,0.54359880239521,0.568479041916168,0.450556886227545,0.585904191616766,0.560293413173653
0.07,0.741389221556886,0.759119760479042,0.641646706586826,0.760844311377246,0.748988023952096,0.66511377245509,0.686778443113773,0.565532934131737,0.703209580838323,0.678946107784431
0.08,0.821562874251497,0.832329341317365,0.723161676646707,0.837952095808383,0.827610778443114,0.760730538922156,0.774377245508982,0.653173652694611,0.79214371257485,0.77111377245509
0.09,0.881131736526946,0.887455089820359,0.791299401197605,0.894281437125749,0.885,0.833365269461078,0.842167664670659,0.731526946107785,0.85840119760479,0.84137125748503
0.1,0.922724550898204,0.925047904191617,0.843610778443114,0.932898203592814,0.925191616766467,0.886850299401198,0.891245508982036,0.793323353293413,0.906221556886227,0.891862275449102
