delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.057497005988024,0.0779520958083832,0.0675688622754491,0.0617125748502994,0.063748502994012,0.0373952095808383,0.0541017964071856,0.0471497005988024,0.0457245508982036,0.0432634730538922
0.02,0.149814371257485,0.178041916167665,0.140958083832335,0.157616766467066,0.15922754491018,0.101892215568862,0.129107784431138,0.101730538922156,0.121035928143713,0.114131736526946
0.03,0.294616766467066,0.327275449101796,0.255491017964072,0.308221556886228,0.305952095808383,0.220712574850299,0.254586826347305,0.195395209580838,0.25140119760479,0.235778443113772
0.04,0.463898203592814,0.499838323353293,0.39840119760479,0.482958083832335,0.474550898203593,0.378125748502994,0.417850299401198,0.325610778443114,0.416161676646707,0.394550898203593
0.05,0.610209580838323,0.643532934131737,0.536,0.628413173652695,0.618916167664671,0.529095808383234,0.568910179640719,0.461694610778443,0.565167664670659,0.543604790419162
0.06,0.729035928143713,0.758550898203593,0.663544910179641,0.74351497005988,0.736041916167665,0.666131736526946,0.699778443113773,0.597844311377246,0.694988023952096,0.677622754491018
0.07,0.806766467065868,0.829389221556886,0.752017964071856,0.81659880239521,0.812071856287425,0.757640718562874,0.786245508982036,0.701359281437126,0.780041916167665,0.766838323353293
0.08,0.85625748502994,0.874778443113773,0.817520958083832,0.862946107784431,0.860568862275449,0.818976047904192,0.843437125748503,0.778479041916168,0.835730538922156,0.826550898203593
0.09,0.890329341317365,0.907191616766467,0.862640718562874,0.895161676646707,0.893982035928144,0.86059880239521,0.882119760479042,0.833622754491018,0.874281437125748,0.867239520958084
0.1,0.922059880239521,0.933736526946108,0.897305389221557,0.925778443113772,0.925,0.896730538922156,0.914173652694611,0.874389221556886,0.908155688622755,0.902299401197605
