delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0248263473053892,0.0265508982035928,0.0287005988023952,0.0272574850299401,0.0242694610778443,0.0150658682634731,0.0163173652694611,0.0224431137724551,0.0173712574850299,0.0147245508982036
0.02,0.0620778443113772,0.0634431137724551,0.0582095808383234,0.0668922155688623,0.0608802395209581,0.0380299401197605,0.0386586826347305,0.0397245508982036,0.0429461077844311,0.0372874251497006
0.03,0.127712574850299,0.126467065868263,0.108946107784431,0.13588622754491,0.125958083832335,0.0836766467065868,0.0834910179640719,0.0771497005988024,0.0932994011976048,0.0826167664670659
0.04,0.222922155688623,0.217730538922156,0.17774251497006,0.234365269461078,0.220694610778443,0.157299401197605,0.153964071856287,0.129263473053892,0.171550898203593,0.156293413173653
0.05,0.348646706586826,0.338077844311377,0.270928143712575,0.363497005988024,0.346293413173653,0.264502994011976,0.255838323353293,0.20774251497006,0.283251497005988,0.262862275449102
0.06,0.487209580838323,0.473191616766467,0.379083832335329,0.502616766467066,0.484640718562874,0.395802395209581,0.380802395209581,0.306502994011976,0.417988023952096,0.393916167664671
0.07,0.62159880239521,0.604125748502994,0.49040119760479,0.636437125748503,0.619610778443114,0.530335329341317,0.512353293413174,0.412221556886228,0.552778443113772,0.528173652694611
0.08,0.737335329341317,0.72011377245509,0.598005988023952,0.750443113772455,0.735275449101796,0.657155688622755,0.637083832335329,0.522149700598802,0.677658682634731,0.655041916167665
0.09,0.82874251497006,0.81185628742515,0.689293413173653,0.838778443113773,0.826724550898204,0.764215568862276,0.744137724550898,0.620293413173653,0.781047904191617,0.762071856287425
0.1,0.89274251497006,0.878101796407186,0.76540119760479,0.899610778443114,0.891275449101796,0.843820359281437,0.825508982035928,0.704982035928144,0.857437125748503,0.842526946107784
