delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0857125748502994,0.121982035928144,0.119179640718563,0.0881736526946108,0.0886826347305389,0.061185628742515,0.0958443113772455,0.0984850299401198,0.0653532934131737,0.0644191616766467
0.02,0.199910179640719,0.229910179640719,0.197766467065868,0.204760479041916,0.203592814371258,0.147976047904192,0.178191616766467,0.157341317365269,0.15785628742515,0.152550898203593
0.03,0.360586826347305,0.378305389221557,0.302934131736527,0.367646706586826,0.365125748502994,0.282491017964072,0.305892215568862,0.245622754491018,0.298706586826347,0.288532934131737
0.04,0.544910179640719,0.544119760479042,0.426131736526946,0.553491017964072,0.54922754491018,0.45634131736527,0.464508982035928,0.358083832335329,0.475580838323353,0.463293413173653
0.05,0.712443113772455,0.692,0.545365269461078,0.720083832335329,0.715850299401198,0.631191616766467,0.618233532934132,0.475119760479042,0.649544910179641,0.637580838323353
0.06,0.828101796407186,0.803329341317365,0.652161676646707,0.834449101796407,0.830107784431138,0.76625748502994,0.74462874251497,0.586203592814371,0.781095808383234,0.770616766467066
0.07,0.905095808383234,0.885059880239521,0.748850299401198,0.909796407185629,0.906347305389222,0.863239520958084,0.842077844311377,0.689233532934132,0.874011976047904,0.865796407185629
0.08,0.951538922155689,0.937964071856287,0.825688622754491,0.954407185628743,0.952083832335329,0.925868263473054,0.910155688622755,0.776179640718563,0.932622754491018,0.92714371257485
0.09,0.976796407185629,0.967329341317365,0.879754491017964,0.978491017964072,0.977047904191617,0.962670658682635,0.950353293413174,0.841131736526946,0.96634131736527,0.963341317365269
0.1,0.989095808383233,0.983814371257485,0.920185628742515,0.990107784431138,0.989215568862275,0.981461077844311,0.973443113772455,0.889748502994012,0.98374251497006,0.981838323353293
