delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0824191616766467,0.0874311377245509,0.0798922155688623,0.0884251497005988,0.0822754491017964,0.0628982035928144,0.0658682634730539,0.066814371257485,0.0722035928143713,0.0629221556886228
0.02,0.10988622754491,0.115916167664671,0.102389221556886,0.117676646706587,0.109712574850299,0.0737604790419162,0.0781976047904192,0.0747724550898204,0.0841077844311377,0.0738562874251497
0.03,0.144532934131737,0.151095808383234,0.131131736526946,0.153808383233533,0.144293413173653,0.0917844311377246,0.0964910179640719,0.0907964071856287,0.102934131736527,0.0917784431137724
0.04,0.186005988023952,0.192011976047904,0.161395209580838,0.196353293413174,0.185760479041916,0.116844311377246,0.121461077844311,0.108916167664671,0.129622754491018,0.116952095808383
0.05,0.231155688622755,0.23685628742515,0.19659880239521,0.243520958083832,0.23088622754491,0.147520958083832,0.151173652694611,0.131,0.163089820359281,0.147532934131737
0.06,0.282359281437126,0.288347305389222,0.238730538922156,0.295880239520958,0.28202994011976,0.184197604790419,0.188652694610778,0.16137125748503,0.201077844311377,0.18425748502994
0.07,0.343083832335329,0.348245508982036,0.28651497005988,0.358059880239521,0.342892215568862,0.233299401197605,0.235676646706587,0.197976047904192,0.252287425149701,0.233245508982036
0.08,0.399874251497006,0.405431137724551,0.330502994011976,0.415880239520958,0.399712574850299,0.279251497005988,0.283353293413174,0.232610778443114,0.300904191616766,0.279275449101796
0.09,0.460622754491018,0.464101796407186,0.380239520958084,0.476449101796407,0.460437125748503,0.334269461077844,0.336544910179641,0.275185628742515,0.356898203592814,0.334263473053892
0.1,0.526700598802395,0.530305389221557,0.436161676646707,0.542964071856288,0.526425149700599,0.394814371257485,0.396191616766467,0.324826347305389,0.419275449101796,0.394898203592814
