alpha,t2,w2,s2,b2,p2
0.001,0.000173652694610778,0.000191616766467066,0.000808383233532934,0.000239520958083832,0.00018562874251497
0.002,0.000329341317365269,0.000347305389221557,0.00141317365269461,0.000431137724550898,0.000323353293413174
0.003,0.000479041916167665,0.000568862275449102,0.00197604790419162,0.000568862275449102,0.000485029940119761
0.004,0.000622754491017964,0.000754491017964072,0.00247904191616767,0.000802395209580838,0.000616766467065868
0.005,0.000790419161676647,0.000958083832335329,0.00294011976047904,0.00102994011976048,0.000760479041916168
0.006,0.000970059880239521,0.0011497005988024,0.00331736526946108,0.00124550898203593,0.000940119760479042
0.007,0.00119760479041916,0.00140119760479042,0.0037125748502994,0.00138922155688623,0.00116167664670659
0.008,0.00134730538922156,0.00161676646706587,0.00422754491017964,0.00150299401197605,0.00131137724550898
0.009,0.00144311377245509,0.00183233532934132,0.00467664670658683,0.00163473053892216,0.00141317365269461
0.01,0.00155089820359281,0.00206586826347305,0.00505988023952096,0.00182634730538922,0.00152694610778443
0.02,0.00323353293413174,0.0041437125748503,0.00867664670658683,0.00365868263473054,0.00317964071856287
0.03,0.00495808383233533,0.00644311377245509,0.0122155688622754,0.0057185628742515,0.00482035928143713
0.04,0.00719161676646707,0.00879640718562874,0.0157544910179641,0.00794610778443114,0.00705988023952096
0.05,0.00932335329341317,0.0112694610778443,0.0183353293413174,0.0101916167664671,0.00906586826347305
0.06,0.0116646706586826,0.0137185628742515,0.0217544910179641,0.0126826347305389,0.0113053892215569
0.07,0.0141017964071856,0.0164431137724551,0.0247245508982036,0.0150479041916168,0.013688622754491
0.08,0.0164550898203593,0.0190179640718563,0.0276706586826347,0.0176167664670659,0.015940119760479
0.09,0.0190239520958084,0.0216107784431138,0.0310119760479042,0.0202035928143713,0.018562874251497
0.1,0.0214131736526946,0.0243592814371258,0.0333892215568862,0.0225269461077844,0.0208562874251497
