alpha,t2,w2,s2,b2,p2
0.001,5.98802395209581e-06,7.18562874251497e-05,0.000335329341317365,5.98802395209581e-06,5.98802395209581e-06
0.002,5.98802395209581e-06,0.000101796407185629,0.000634730538922156,5.98802395209581e-06,5.98802395209581e-06
0.003,1.19760479041916e-05,0.000137724550898204,0.000838323353293413,1.79640718562874e-05,1.19760479041916e-05
0.004,1.79640718562874e-05,0.000191616766467066,0.00102395209580838,4.79041916167665e-05,2.39520958083832e-05
0.005,4.79041916167665e-05,0.000245508982035928,0.00111377245508982,7.18562874251497e-05,5.38922155688623e-05
0.006,6.58682634730539e-05,0.000293413173652695,0.00127544910179641,7.18562874251497e-05,7.18562874251497e-05
0.007,7.18562874251497e-05,0.000341317365269461,0.00141916167664671,0.000101796407185629,7.78443113772455e-05
0.008,8.38323353293413e-05,0.000401197604790419,0.00153293413173653,0.000119760479041916,9.58083832335329e-05
0.009,0.00011377245508982,0.000485029940119761,0.00173053892215569,0.000131736526946108,0.000119760479041916
0.01,0.000131736526946108,0.000562874251497006,0.00191017964071856,0.000167664670658683,0.000131736526946108
0.02,0.000305389221556886,0.00112574850299401,0.00329940119760479,0.000341317365269461,0.000311377245508982
0.03,0.000485029940119761,0.00170059880239521,0.00468862275449102,0.000538922155688623,0.000485029940119761
0.04,0.000670658682634731,0.00229341317365269,0.00582035928143713,0.000748502994011976,0.000676646706586826
0.05,0.000922155688622754,0.0028502994011976,0.00691616766467066,0.00102395209580838,0.000922155688622754
0.06,0.00116167664670659,0.00355688622754491,0.00779640718562874,0.00123952095808383,0.00115568862275449
0.07,0.00137724550898204,0.00408383233532934,0.00898203592814371,0.00153293413173653,0.00138323353293413
0.08,0.00167664670658683,0.00477844311377246,0.0100059880239521,0.00176646706586826,0.00167065868263473
0.09,0.0018622754491018,0.00550299401197605,0.0108502994011976,0.00206586826347305,0.00188023952095808
0.1,0.00222754491017964,0.0061437125748503,0.0117245508982036,0.00238922155688623,0.00222155688622754
