alpha,t2,w2,s2,b2,p2
0.001,0,5.98802395209581e-06,1.19760479041916e-05,0,0
0.002,0,2.39520958083832e-05,1.19760479041916e-05,0,1.19760479041916e-05
0.003,0,2.9940119760479e-05,1.19760479041916e-05,1.79640718562874e-05,1.79640718562874e-05
0.004,0,2.9940119760479e-05,1.19760479041916e-05,2.9940119760479e-05,2.39520958083832e-05
0.005,0,3.59281437125749e-05,4.19161676646707e-05,4.19161676646707e-05,3.59281437125749e-05
0.006,5.98802395209581e-06,5.98802395209581e-05,4.19161676646707e-05,5.38922155688623e-05,4.19161676646707e-05
0.007,1.19760479041916e-05,6.58682634730539e-05,5.98802395209581e-05,5.98802395209581e-05,5.38922155688623e-05
0.008,3.59281437125749e-05,7.78443113772455e-05,7.78443113772455e-05,7.78443113772455e-05,7.18562874251497e-05
0.009,4.19161676646707e-05,8.38323353293413e-05,7.78443113772455e-05,7.78443113772455e-05,7.78443113772455e-05
0.01,4.79041916167665e-05,9.58083832335329e-05,7.78443113772455e-05,8.38323353293413e-05,7.78443113772455e-05
0.02,8.38323353293413e-05,0.000191616766467066,0.000239520958083832,0.000143712574850299,0.00011377245508982
0.03,0.000137724550898204,0.000287425149700599,0.000377245508982036,0.000287425149700599,0.000155688622754491
0.04,0.000215568862275449,0.000437125748502994,0.00055688622754491,0.000401197604790419,0.000269461077844311
0.05,0.000341317365269461,0.000574850299401198,0.000676646706586826,0.000544910179640719,0.000359281437125749
0.06,0.00044311377245509,0.00070059880239521,0.000904191616766467,0.000622754491017964,0.000473053892215569
0.07,0.00055688622754491,0.000802395209580838,0.00122754491017964,0.000760479041916168,0.000562874251497006
0.08,0.00062874251497006,0.000958083832335329,0.00146706586826347,0.000976047904191617,0.000652694610778443
0.09,0.000748502994011976,0.0011437125748503,0.00146706586826347,0.00117365269461078,0.000760479041916168
0.1,0.000940119760479042,0.00138323353293413,0.00194011976047904,0.00138922155688623,0.000940119760479042
