alpha,t2,w2,s2,b2,p2
0.001,0,5.98802395209581e-06,5.98802395209581e-06,0,0
0.002,0,5.98802395209581e-06,1.19760479041916e-05,0,0
0.003,0,5.98802395209581e-06,1.19760479041916e-05,0,0
0.004,0,5.98802395209581e-06,1.79640718562874e-05,0,0
0.005,0,5.98802395209581e-06,1.79640718562874e-05,0,0
0.006,0,5.98802395209581e-06,2.9940119760479e-05,0,0
0.007,0,5.98802395209581e-06,3.59281437125749e-05,0,0
0.008,0,5.98802395209581e-06,4.19161676646707e-05,0,0
0.009,0,5.98802395209581e-06,4.19161676646707e-05,0,0
0.01,0,5.98802395209581e-06,5.38922155688623e-05,0,0
0.02,0,5.98802395209581e-06,0.000107784431137725,0,0
0.03,0,5.98802395209581e-06,0.000179640718562874,0,0
0.04,0,2.39520958083832e-05,0.000215568862275449,0,0
0.05,0,2.9940119760479e-05,0.00025748502994012,5.98802395209581e-06,5.98802395209581e-06
0.06,5.98802395209581e-06,4.79041916167665e-05,0.000317365269461078,1.79640718562874e-05,5.98802395209581e-06
0.07,2.39520958083832e-05,5.38922155688623e-05,0.000341317365269461,2.39520958083832e-05,2.39520958083832e-05
0.08,2.39520958083832e-05,7.18562874251497e-05,0.000413173652694611,2.9940119760479e-05,2.39520958083832e-05
0.09,2.9940119760479e-05,7.78443113772455e-05,0.000449101796407186,2.9940119760479e-05,2.9940119760479e-05
0.1,2.9940119760479e-05,9.58083832335329e-05,0.000491017964071856,4.19161676646707e-05,2.9940119760479e-05
