alpha,t2,w2,s2,b2,p2
0.001,2.9940119760479e-05,5.98802395209581e-06,1.19760479041916e-05,3.59281437125749e-05,2.9940119760479e-05
0.002,3.59281437125749e-05,2.9940119760479e-05,4.19161676646707e-05,6.58682634730539e-05,3.59281437125749e-05
0.003,4.19161676646707e-05,5.38922155688623e-05,8.38323353293413e-05,0.00011377245508982,4.19161676646707e-05
0.004,8.38323353293413e-05,7.18562874251497e-05,0.000149700598802395,0.000149700598802395,8.98203592814371e-05
0.005,0.00011377245508982,8.38323353293413e-05,0.000161676646706587,0.000179640718562874,0.000119760479041916
0.006,0.000137724550898204,0.000101796407185629,0.000227544910179641,0.000239520958083832,0.000137724550898204
0.007,0.000161676646706587,0.000125748502994012,0.00025748502994012,0.000269461077844311,0.000167664670658683
0.008,0.000191616766467066,0.000161676646706587,0.000311377245508982,0.000293413173652695,0.000197604790419162
0.009,0.000239520958083832,0.000191616766467066,0.000329341317365269,0.000317365269461078,0.000245508982035928
0.01,0.000263473053892216,0.000209580838323353,0.000389221556886228,0.000335329341317365,0.00025748502994012
0.02,0.00055688622754491,0.00055688622754491,0.000916167664670659,0.000802395209580838,0.000562874251497006
0.03,0.000964071856287425,0.000892215568862276,0.00150299401197605,0.00127544910179641,0.000958083832335329
0.04,0.00147305389221557,0.00140119760479042,0.00191616766467066,0.0018622754491018,0.00144311377245509
0.05,0.00198802395209581,0.00191017964071856,0.00250299401197605,0.00239520958083832,0.002
0.06,0.00253293413173653,0.00235928143712575,0.00317964071856287,0.00297604790419162,0.00252694610778443
0.07,0.00305389221556886,0.00291017964071856,0.00374251497005988,0.00369461077844311,0.00301197604790419
0.08,0.00373053892215569,0.00367664670658683,0.0044311377245509,0.0042874251497006,0.00372455089820359
0.09,0.00432934131736527,0.00434131736526946,0.00552095808383234,0.00498802395209581,0.00430538922155689
0.1,0.00504191616766467,0.00507185628742515,0.00640718562874252,0.00573652694610779,0.0050059880239521
