delta,t2,w2,s2,b2,p2
0.01,0.000820359281437126,0.000395209580838323,0.000664670658682635,0.00231736526946108,0.000784431137724551
0.02,0.000437125748502994,0.000227544910179641,0.000485029940119761,0.00119760479041916,0.000449101796407186
0.03,0.000233532934131737,8.98203592814371e-05,0.000209580838323353,0.00070059880239521,0.000215568862275449
0.04,9.58083832335329e-05,5.38922155688623e-05,0.000125748502994012,0.000317365269461078,9.58083832335329e-05
0.05,8.98203592814371e-05,6.58682634730539e-05,8.38323353293413e-05,0.000275449101796407,8.38323353293413e-05
0.06,4.19161676646707e-05,2.39520958083832e-05,3.59281437125749e-05,0.000107784431137725,2.9940119760479e-05
0.07,1.79640718562874e-05,0,3.59281437125749e-05,5.98802395209581e-05,5.98802395209581e-06
0.08,0,5.98802395209581e-06,5.98802395209581e-06,5.38922155688623e-05,0
0.09,5.98802395209581e-06,0,5.98802395209581e-06,2.39520958083832e-05,0
0.1,5.98802395209581e-06,0,0,5.98802395209581e-06,5.98802395209581e-06
