delta,t2,w2,s2,b2,p2
0.01,0.000976047904191617,0.00051497005988024,0.000724550898203593,0.00304191616766467,0.00122155688622754
0.02,0.000802395209580838,0.00044311377245509,0.000574850299401198,0.00229341317365269,0.000982035928143713
0.03,0.000580838323353293,0.000341317365269461,0.000461077844311377,0.00162874251497006,0.00074251497005988
0.04,0.000407185628742515,0.000203592814371258,0.000335329341317365,0.00110778443113772,0.000437125748502994
0.05,0.000239520958083832,0.000173652694610778,0.000149700598802395,0.000778443113772455,0.000341317365269461
0.06,0.000167664670658683,0.000125748502994012,0.000131736526946108,0.000550898203592814,0.000233532934131737
0.07,9.58083832335329e-05,7.78443113772455e-05,6.58682634730539e-05,0.000407185628742515,0.000173652694610778
0.08,9.58083832335329e-05,4.19161676646707e-05,4.79041916167665e-05,0.000311377245508982,0.000143712574850299
0.09,6.58682634730539e-05,3.59281437125749e-05,5.38922155688623e-05,0.000131736526946108,8.38323353293413e-05
0.1,6.58682634730539e-05,2.39520958083832e-05,3.59281437125749e-05,0.000167664670658683,7.18562874251497e-05
