delta,t2,w2,s2,b2,p2
0.01,0.000646706586826347,0.00134730538922156,0.00196407185628743,0.000982035928143713,0.000772455089820359
0.02,0.000143712574850299,0.000389221556886228,0.000808383233532934,0.000197604790419162,0.00018562874251497
0.03,4.79041916167665e-05,0.000167664670658683,0.000437125748502994,7.18562874251497e-05,5.38922155688623e-05
0.04,1.79640718562874e-05,8.98203592814371e-05,0.000167664670658683,2.39520958083832e-05,2.9940119760479e-05
0.05,5.98802395209581e-06,2.9940119760479e-05,0.000125748502994012,5.98802395209581e-06,5.98802395209581e-06
0.06,0,0,5.38922155688623e-05,0,0
0.07,0,0,2.39520958083832e-05,0,0
0.08,0,0,1.79640718562874e-05,0,0
0.09,0,0,1.19760479041916e-05,0,0
0.1,0,0,1.19760479041916e-05,0,0
