delta,t2,w2,s2,b2,p2
0.01,0.00568862275449102,0.00717964071856287,0.00559880239520958,0.00870059880239521,0.00621556886227545
0.02,0.00189820359281437,0.00258682634730539,0.00237724550898204,0.00316167664670659,0.00210179640718563
0.03,0.000910179640718563,0.00119161676646707,0.00117365269461078,0.00141317365269461,0.000982035928143713
0.04,0.000293413173652695,0.000497005988023952,0.000634730538922156,0.000574850299401198,0.000341317365269461
0.05,0.00011377245508982,0.000191616766467066,0.000317365269461078,0.000221556886227545,0.000137724550898204
0.06,1.79640718562874e-05,4.79041916167665e-05,0.000179640718562874,2.9940119760479e-05,1.79640718562874e-05
0.07,1.19760479041916e-05,2.39520958083832e-05,9.58083832335329e-05,1.79640718562874e-05,1.19760479041916e-05
0.08,5.98802395209581e-06,1.79640718562874e-05,7.18562874251497e-05,2.39520958083832e-05,5.98802395209581e-06
0.09,0,5.98802395209581e-06,1.19760479041916e-05,5.98802395209581e-06,0
0.1,0,5.98802395209581e-06,1.79640718562874e-05,0,0
